Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.0,28.51,-2.12,28.7,-2.2,28.7,-2.2
0.0,28.49,-2.23,28.7,-2.2,28.7,-2.2
0.032,28.54,-2.23,28.7,-2.2,28.69,-2.2
0.066,28.55,-2.19,28.7,-2.2,28.69,-2.2
0.1,28.49,-2.19,28.7,-2.2,28.69,-2.2
0.133,28.46,-2.21,28.7,-2.2,28.69,-2.2
0.166,28.48,-2.21,28.7,-2.2,28.69,-2.2
0.198,28.52,-2.2,28.69,-2.2,28.69,-2.2
0.231,28.55,-2.24,28.7,-2.2,28.69,-2.2
0.264,28.48,-2.24,28.7,-2.2,28.69,-2.2
0.296,28.47,-2.24,28.7,-2.2,28.69,-2.2
0.329,28.51,-2.17,28.7,-2.2,28.69,-2.2
0.362,28.52,-2.2,28.7,-2.2,28.7,-2.2
0.393,28.54,-2.21,28.7,-2.2,28.7,-2.2
0.424,28.55,-2.2,28.7,-2.2,28.7,-2.2
0.457,28.49,-2.19,28.7,-2.2,28.7,-2.2
0.49,28.5,-2.17,28.7,-2.2,28.7,-2.2
0.522,28.6,-2.23,28.7,-2.2,28.7,-2.2
0.555,28.57,-2.24,28.7,-2.2,28.7,-2.2
0.587,28.51,-2.24,28.7,-2.2,28.7,-2.2
0.618,28.46,-2.22,28.7,-2.2,28.7,-2.2
0.65,28.47,-2.22,28.7,-2.2,28.7,-2.2
0.681,28.49,-2.19,28.7,-2.2,28.7,-2.2
0.713,28.53,-2.17,28.7,-2.2,28.7,-2.2
0.745,28.57,-2.22,28.7,-2.2,28.7,-2.2
0.778,28.5,-2.25,28.7,-2.2,28.7,-2.2
0.808,28.48,-2.24,28.7,-2.2,28.7,-2.2
0.841,28.52,-2.18,28.7,-2.2,28.7,-2.2
0.873,28.54,-2.15,28.7,-2.2,28.7,-2.2
0.905,28.51,-2.34,28.7,-2.2,28.7,-2.2
0.938,28.49,-2.31,28.7,-2.2,28.7,-2.2
0.969,28.56,-2.22,28.7,-2.2,28.7,-2.2
1.002,28.56,-2.22,28.7,-2.2,28.7,-2.2
1.034,28.5,-2.15,28.7,-2.2,28.7,-2.2
1.067,28.5,-2.14,28.7,-2.2,28.7,-2.2
1.101,28.47,-2.2,28.7,-2.2,28.7,-2.2
1.131,28.47,-2.3,28.7,-2.2,28.7,-2.2
1.162,28.47,-2.24,28.7,-2.2,28.7,-2.2
1.196,28.56,-2.15,28.7,-2.2,28.7,-2.2
1.228,28.54,-2.15,28.7,-2.2,28.7,-2.2
1.26,28.5,-2.15,28.7,-2.2,28.7,-2.2
1.294,28.52,-2.17,28.7,-2.2,28.7,-2.2
1.327,28.51,-2.22,28.7,-2.2,28.7,-2.2
1.358,28.52,-2.26,28.7,-2.2,28.7,-2.2
1.389,28.54,-2.24,28.7,-2.2,28.7,-2.2
1.422,28.58,-2.19,28.7,-2.2,28.7,-2.2
1.455,28.58,-2.19,28.7,-2.2,28.7,-2.2
1.487,28.5,-2.22,28.7,-2.2,28.7,-2.2
1.521,28.47,-2.22,28.7,-2.2,28.7,-2.2
1.554,28.48,-2.24,28.7,-2.2,28.7,-2.21
