Time (s),Gyro Roll (deg)
0.0,-0.76
0.012,-0.76
0.027,-0.76
0.041,-0.76
0.056,-0.76
0.07,-0.76
0.085,-0.76
0.101,-0.76
0.115,-0.76
0.13,-0.76
0.144,-0.76
0.158,-0.76
0.173,-0.75
0.187,-0.75
0.202,-0.75
0.217,-0.75
0.231,-0.75
0.245,-0.75
0.26,-0.75
0.274,-0.75
0.289,-0.75
0.304,-0.75
0.318,-0.75
0.333,-0.75
0.347,-0.75
0.362,-0.75
0.376,-0.75
0.391,-0.75
0.405,-0.75
0.42,-0.75
0.434,-0.75
0.449,-0.75
0.463,-0.75
0.478,-0.75
0.492,-0.75
0.506,-0.75
0.521,-0.75
0.535,-0.75
0.55,-0.75
0.564,-0.75
0.579,-0.75
0.593,-0.75
0.608,-0.75
0.622,-0.75
0.637,-0.75
0.651,-0.74
0.666,-0.75
0.68,-0.75
0.694,-0.75
0.709,-0.75
0.725,-0.75
0.739,-0.75
0.753,-0.75
0.768,-0.75
0.783,-0.75
0.797,-0.75
0.812,-0.75
0.826,-0.75
0.841,-0.75
0.856,-0.75
0.87,-0.75
0.885,-0.75
0.899,-0.75
0.914,-0.75
0.929,-0.75
0.943,-0.75
0.958,-0.75
0.972,-0.75
0.987,-0.75
1.001,-0.75
1.016,-0.75
1.03,-0.75
1.044,-0.75
1.059,-0.75
1.073,-0.75
1.088,-0.75
1.102,-0.75
1.116,-0.76
1.131,-0.76
1.147,-0.76
1.162,-0.76
1.177,-0.76
1.191,-0.76
1.206,-0.76
1.22,-0.76
1.235,-0.75
1.249,-0.75
1.264,-0.75
1.278,-0.75
1.292,-0.76
1.307,-0.76
1.321,-0.76
1.336,-0.76
1.351,-0.76
1.365,-0.76
1.38,-0.75
1.394,-0.75
1.409,-0.75
1.423,-0.75
1.437,-0.75
1.452,-0.75
1.466,-0.75
1.481,-0.75
1.495,-0.75
1.51,-0.75
1.524,-0.75
1.539,-0.75
1.553,-0.75
1.568,-0.75
1.583,-0.75
1.597,-0.75
1.612,-0.75
1.626,-0.75
1.64,-0.76
1.655,-0.75
1.669,-0.75
1.684,-0.75
1.698,-0.75
1.713,-0.75
1.728,-0.75
1.742,-0.75
1.757,-0.75
1.771,-0.75
1.786,-0.75
1.8,-0.75
1.815,-0.75
1.831,-0.75
1.845,-0.75
1.86,-0.75
1.875,-0.75
1.889,-0.75
1.904,-0.75
1.918,-0.75
1.933,-0.75
1.947,-0.75
1.961,-0.75
1.976,-0.75
1.99,-0.75
2.004,-0.74
2.019,-0.74
2.033,-0.74
2.049,-0.74
2.064,-0.74
2.078,-0.74
2.092,-0.74
2.107,-0.74
2.121,-0.74
2.136,-0.74
2.15,-0.74
2.165,-0.74
2.179,-0.74
2.194,-0.74
2.208,-0.74
2.223,-0.74
2.238,-0.74
2.253,-0.74
2.267,-0.74
2.282,-0.74
2.296,-0.74
2.311,-0.74
2.325,-0.74
2.34,-0.74
2.354,-0.74
2.369,-0.74
2.383,-0.74
2.398,-0.74
2.413,-0.74
2.427,-0.74
2.441,-0.74
2.456,-0.74
2.471,-0.74
2.485,-0.74
2.5,-0.74
2.514,-0.74
2.529,-0.74
2.543,-0.74
2.558,-0.74
2.572,-0.74
2.587,-0.74
2.601,-0.74
2.615,-0.74
2.63,-0.74
2.644,-0.74
2.659,-0.74
2.673,-0.74
2.687,-0.74
2.702,-0.74
2.716,-0.74
2.731,-0.74
2.745,-0.74
2.759,-0.74
2.774,-0.74
2.788,-0.74
2.803,-0.74
2.817,-0.74
2.832,-0.74
2.847,-0.74
2.861,-0.74
2.875,-0.74
2.89,-0.74
2.904,-0.74
2.919,-0.74
2.933,-0.74
2.948,-0.74
2.962,-0.74
2.977,-0.74
2.991,-0.74
3.006,-0.74
3.02,-0.74
3.035,-0.74
3.049,-0.74
3.063,-0.74
3.078,-0.74
3.092,-0.74
3.107,-0.74
3.121,-0.74
3.136,-0.74
3.15,-0.74
3.165,-0.74
3.179,-0.74
3.194,-0.74
3.209,-0.74
3.223,-0.74
3.237,-0.74
3.252,-0.74
3.266,-0.73
3.281,-0.73
3.295,-0.73
3.31,-0.74
3.324,-0.73
3.339,-0.73
3.353,-0.73
3.368,-0.73
3.382,-0.73
3.397,-0.74
3.411,-0.73
3.426,-0.73
3.44,-0.73
3.455,-0.73
3.47,-0.73
3.484,-0.73
3.498,-0.73
3.513,-0.73
3.527,-0.73
3.541,-0.73
3.556,-0.73
3.57,-0.73
3.587,-0.73
3.601,-0.73
3.616,-0.73
3.63,-0.73
3.645,-0.73
3.659,-0.73
3.674,-0.73
3.689,-0.73
3.703,-0.73
3.718,-0.73
3.732,-0.73
3.747,-0.73
3.761,-0.73
3.776,-0.73
3.79,-0.73
3.804,-0.73
3.819,-0.73
3.833,-0.73
3.848,-0.73
3.862,-0.73
3.877,-0.73
3.891,-0.73
3.906,-0.73
3.921,-0.73
3.935,-0.73
3.95,-0.73
3.964,-0.73
3.979,-0.73
3.993,-0.73
4.008,-0.73
4.022,-0.73
4.036,-0.73
4.051,-0.73
4.065,-0.73
4.08,-0.73
4.095,-0.74
4.11,-0.73
4.125,-0.73
4.14,-0.73
4.155,-0.73
4.17,-0.73
4.184,-0.73
4.199,-0.73
4.214,-0.74
4.228,-0.73
4.243,-0.73
4.258,-0.74
4.272,-0.74
4.286,-0.73
4.301,-0.73
4.315,-0.73
4.33,-0.73
4.344,-0.73
4.359,-0.73
4.374,-0.74
4.388,-0.74
4.402,-0.74
4.417,-0.74
4.431,-0.74
4.446,-0.73
4.461,-0.73
4.475,-0.73
4.489,-0.73
4.504,-0.73
4.518,-0.73
4.533,-0.73
4.547,-0.73
4.562,-0.74
4.577,-0.74
4.591,-0.73
4.606,-0.73
4.62,-0.73
4.635,-0.73
4.649,-0.73
4.664,-0.73
4.678,-0.73
4.693,-0.73
4.707,-0.73
4.722,-0.73
4.736,-0.73
4.751,-0.73
4.765,-0.73
4.781,-0.73
4.796,-0.73
4.81,-0.73
4.825,-0.73
4.839,-0.73
4.854,-0.73
4.868,-0.73
4.883,-0.73
4.897,-0.74
4.912,-0.74
4.926,-0.74
4.941,-0.74
4.955,-0.74
4.969,-0.74
4.984,-0.74
4.998,-0.74
5.013,-0.74
5.027,-0.74
5.042,-0.74
5.056,-0.74
5.07,-0.74
5.085,-0.74
5.099,-0.74
5.114,-0.74
5.128,-0.74
5.143,-0.74
5.158,-0.74
5.172,-0.74
5.186,-0.74
5.201,-0.74
5.215,-0.74
5.23,-0.74
5.244,-0.74
5.258,-0.74
5.273,-0.74
5.287,-0.74
5.302,-0.74
5.316,-0.74
5.331,-0.74
5.346,-0.74
5.36,-0.74
5.374,-0.74
5.389,-0.74
5.403,-0.74
5.418,-0.74
5.432,-0.74
5.447,-0.74
5.461,-0.74
5.476,-0.74
5.49,-0.74
5.505,-0.74
5.52,-0.74
5.534,-0.74
5.549,-0.74
5.563,-0.74
5.578,-0.74
5.593,-0.74
5.607,-0.74
5.622,-0.74
5.636,-0.74
5.65,-0.74
5.665,-0.74
5.679,-0.74
5.694,-0.74
5.708,-0.74
5.723,-0.74
5.738,-0.74
5.752,-0.74
5.767,-0.74
5.781,-0.74
5.796,-0.74
5.81,-0.74
5.825,-0.74
5.839,-0.74
5.854,-0.75
5.869,-0.75
5.884,-0.75
5.899,-0.75
5.913,-0.75
5.928,-0.75
5.942,-0.75
5.957,-0.75
5.972,-0.75
5.986,-0.75
6.0,-0.75
6.015,-0.75
6.029,-0.75
6.044,-0.75
6.059,-0.75
6.073,-0.75
6.087,-0.75
6.102,-0.75
6.116,-0.75
6.131,-0.75
6.145,-0.75
6.159,-0.75
6.174,-0.75
6.188,-0.75
6.203,-0.75
6.217,-0.75
6.232,-0.75
6.246,-0.75
6.261,-0.75
6.275,-0.75
6.29,-0.75
6.305,-0.75
6.319,-0.75
6.333,-0.75
6.348,-0.75
6.362,-0.75
6.377,-0.75
6.392,-0.75
6.406,-0.75
6.421,-0.75
6.435,-0.75
6.449,-0.75
6.464,-0.75
6.478,-0.75
6.493,-0.75
6.507,-0.75
6.522,-0.75
6.537,-0.75
6.551,-0.75
6.566,-0.75
6.58,-0.75
6.594,-0.75
6.609,-0.75
6.623,-0.75
6.638,-0.75
6.652,-0.75
6.666,-0.75
6.681,-0.75
6.696,-0.75
6.71,-0.75
6.725,-0.75
6.739,-0.75
6.754,-0.75
6.769,-0.75
6.783,-0.75
6.798,-0.75
6.812,-0.75
6.827,-0.75
6.842,-0.75
6.856,-0.75
6.871,-0.75
6.886,-0.75
6.9,-0.75
6.915,-0.75
6.929,-0.75
6.944,-0.75
6.959,-0.75
6.973,-0.75
6.988,-0.75
7.002,-0.76
7.017,-0.76
7.032,-0.76
7.047,-0.76
7.062,-0.75
7.076,-0.76
7.091,-0.76
7.106,-0.76
7.121,-0.76
7.135,-0.76
7.15,-0.76
7.164,-0.76
7.179,-0.76
7.194,-0.75
7.208,-0.75
7.223,-0.75
7.238,-0.75
7.253,-0.75
7.267,-0.75
7.282,-0.75
7.297,-0.75
7.311,-0.75
7.326,-0.75
7.34,-0.75
7.356,-0.75
7.37,-0.75
7.384,-0.75
7.399,-0.75
7.413,-0.75
7.428,-0.75
7.442,-0.75
7.457,-0.75
7.471,-0.75
7.486,-0.75
7.5,-0.75
7.516,-0.75
7.531,-0.75
7.545,-0.75
7.56,-0.75
7.574,-0.75
7.589,-0.75
7.603,-0.75
7.618,-0.75
7.632,-0.75
7.647,-0.75
7.661,-0.75
7.676,-0.75
7.69,-0.75
7.704,-0.75
7.719,-0.75
7.734,-0.75
7.748,-0.75
7.763,-0.75
7.777,-0.75
7.792,-0.75
7.806,-0.75
7.82,-0.75
7.835,-0.75
7.849,-0.75
7.864,-0.75
7.878,-0.75
7.893,-0.75
7.907,-0.75
7.922,-0.75
7.936,-0.75
7.951,-0.75
7.965,-0.75
7.979,-0.75
7.994,-0.75
8.008,-0.75
8.022,-0.75
8.037,-0.75
8.051,-0.75
8.066,-0.75
8.08,-0.75
8.094,-0.75
8.109,-0.75
8.123,-0.75
8.138,-0.75
8.153,-0.75
8.17,-0.75
8.185,-0.75
8.199,-0.75
8.213,-0.75
8.228,-0.75
8.242,-0.75
8.257,-0.75
8.271,-0.75
8.285,-0.75
8.3,-0.75
8.314,-0.75
8.329,-0.75
8.343,-0.75
8.357,-0.75
8.372,-0.75
8.386,-0.75
8.401,-0.75
8.415,-0.75
8.429,-0.75
8.444,-0.75
8.458,-0.75
8.472,-0.75
8.487,-0.74
8.501,-0.74
8.516,-0.74
8.53,-0.75
8.544,-0.74
8.56,-0.74
8.575,-0.74
8.589,-0.74
8.603,-0.74
8.618,-0.74
8.632,-0.74
8.647,-0.74
8.661,-0.74
8.676,-0.74
8.69,-0.74
8.705,-0.74
8.719,-0.74
8.734,-0.74
8.748,-0.74
8.763,-0.74
8.777,-0.74
8.792,-0.74
8.807,-0.74
8.821,-0.74
8.835,-0.74
8.85,-0.74
8.864,-0.74
8.878,-0.75
8.893,-0.75
8.907,-0.74
8.922,-0.75
8.936,-0.75
8.95,-0.75
8.965,-0.75
8.98,-0.75
8.994,-0.75
9.009,-0.75
9.023,-0.75
9.038,-0.75
9.052,-0.75
9.067,-0.75
9.081,-0.75
9.095,-0.75
9.11,-0.75
9.124,-0.75
9.138,-0.75
9.153,-0.75
9.167,-0.75
9.181,-0.75
9.196,-0.75
9.211,-0.75
9.225,-0.75
9.24,-0.75
9.254,-0.75
9.268,-0.75
9.283,-0.75
9.298,-0.75
9.312,-0.75
9.327,-0.75
9.341,-0.75
9.356,-0.75
9.37,-0.75
9.385,-0.75
9.399,-0.75
9.414,-0.75
9.428,-0.75
9.443,-0.75
9.457,-0.75
9.474,-0.75
9.489,-0.75
9.504,-0.75
9.518,-0.75
9.532,-0.75
9.547,-0.75
9.562,-0.75
9.577,-0.75
9.592,-0.75
9.606,-0.74
9.621,-0.74
9.635,-0.74
9.65,-0.74
9.664,-0.74
9.679,-0.74
9.694,-0.74
9.708,-0.74
9.723,-0.74
9.737,-0.74
9.752,-0.74
9.766,-0.74
9.781,-0.74
9.798,-0.74
9.809,-0.74
9.824,-0.74
9.839,-0.74
9.854,-0.74
9.868,-0.74
9.883,-0.74
9.897,-0.74
9.912,-0.74
9.926,-0.74
9.941,-0.74
9.955,-0.74
9.969,-0.74
9.984,-0.74
9.999,-0.74
10.014,-0.74
10.028,-0.74
10.042,-0.74
10.057,-0.74
10.071,-0.74
10.086,-0.74
10.1,-0.74
10.114,-0.74
10.129,-0.74
10.143,-0.74
10.158,-0.74
10.173,-0.74
10.187,-0.74
10.202,-0.74
10.216,-0.74
10.23,-0.74
10.245,-0.74
10.259,-0.74
10.274,-0.74
10.288,-0.74
10.303,-0.74
10.317,-0.74
10.332,-0.74
10.346,-0.74
10.36,-0.74
10.375,-0.74
10.389,-0.74
10.404,-0.74
10.418,-0.74
10.432,-0.74
10.447,-0.74
10.461,-0.74
10.476,-0.74
10.49,-0.74
10.505,-0.74
10.52,-0.74
10.534,-0.74
10.549,-0.74
10.563,-0.74
10.577,-0.74
10.592,-0.74
10.606,-0.74
10.621,-0.74
10.635,-0.74
10.649,-0.74
10.667,-0.74
10.681,-0.74
10.696,-0.74
10.71,-0.74
10.725,-0.74
10.739,-0.74
10.754,-0.74
10.768,-0.75
10.783,-0.75
10.798,-0.75
10.812,-0.75
10.827,-0.75
10.842,-0.75
10.856,-0.75
10.871,-0.75
10.885,-0.75
10.901,-0.75
10.915,-0.75
10.93,-0.75
10.944,-0.75
10.959,-0.75
10.973,-0.75
10.988,-0.75
11.002,-0.75
11.016,-0.75
11.031,-0.75
11.045,-0.75
11.06,-0.75
11.075,-0.75
11.089,-0.75
11.103,-0.75
11.117,-0.75
11.132,-0.75
11.147,-0.75
11.161,-0.75
11.176,-0.74
11.19,-0.74
11.205,-0.74
11.219,-0.74
11.233,-0.74
11.248,-0.74
11.262,-0.74
11.277,-0.74
11.292,-0.74
11.306,-0.74
11.321,-0.74
11.335,-0.74
11.349,-0.74
11.364,-0.74
11.379,-0.74
11.393,-0.74
11.408,-0.74
11.422,-0.74
11.437,-0.74
11.451,-0.74
11.465,-0.74
11.48,-0.74
11.494,-0.74
11.509,-0.75
11.523,-0.74
11.538,-0.74
11.552,-0.74
11.567,-0.74
11.581,-0.74
11.596,-0.74
11.61,-0.74
11.625,-0.74
11.639,-0.74
11.654,-0.74
11.668,-0.74
11.683,-0.74
11.697,-0.74
11.712,-0.74
11.726,-0.74
11.741,-0.74
11.755,-0.74
11.769,-0.74
11.784,-0.74
11.799,-0.74
11.813,-0.75
11.827,-0.75
11.842,-0.75
11.856,-0.75
11.87,-0.75
11.885,-0.75
11.9,-0.75
11.914,-0.75
11.928,-0.75
11.943,-0.74
11.958,-0.74
11.972,-0.74
11.986,-0.74
12.001,-0.74
12.015,-0.74
12.03,-0.74
12.044,-0.74
12.059,-0.74
12.073,-0.74
12.087,-0.74
12.102,-0.74
12.116,-0.74
12.13,-0.74
12.145,-0.74
12.159,-0.74
12.174,-0.74
12.188,-0.74
12.203,-0.74
12.218,-0.74
12.232,-0.74
12.246,-0.74
12.261,-0.74
12.275,-0.74
12.29,-0.74
12.304,-0.74
12.319,-0.74
12.333,-0.74
12.348,-0.74
12.362,-0.74
12.377,-0.74
12.391,-0.74
12.406,-0.74
12.422,-0.74
12.437,-0.74
12.451,-0.74
12.466,-0.74
12.48,-0.74
12.495,-0.74
12.51,-0.74
12.524,-0.74
12.539,-0.74
12.553,-0.74
12.568,-0.74
12.583,-0.74
12.598,-0.74
12.612,-0.74
12.626,-0.74
12.641,-0.74
12.655,-0.74
12.67,-0.74
12.684,-0.74
12.699,-0.74
12.713,-0.74
12.728,-0.74
12.742,-0.74
12.757,-0.74
12.771,-0.74
12.786,-0.73
12.801,-0.73
12.815,-0.73
12.83,-0.73
12.844,-0.73
12.858,-0.73
12.873,-0.73
12.887,-0.72
12.902,-0.72
12.916,-0.72
12.93,-0.72
12.945,-0.72
12.959,-0.73
12.974,-0.72
12.988,-0.72
13.003,-0.72
13.018,-0.73
13.032,-0.73
13.046,-0.73
13.061,-0.73
13.075,-0.73
13.09,-0.73
13.104,-0.73
13.118,-0.73
13.133,-0.73
13.148,-0.73
13.162,-0.73
13.177,-0.73
13.191,-0.73
13.206,-0.72
13.22,-0.72
13.235,-0.72
13.25,-0.72
13.264,-0.72
13.279,-0.72
13.294,-0.72
13.309,-0.72
13.323,-0.72
13.338,-0.72
13.352,-0.72
13.367,-0.72
13.381,-0.73
13.396,-0.73
13.41,-0.73
13.425,-0.73
13.439,-0.73
13.454,-0.73
13.468,-0.73
13.483,-0.73
13.497,-0.73
13.512,-0.73
13.527,-0.72
13.542,-0.73
13.557,-0.73
13.572,-0.73
13.587,-0.73
13.601,-0.73
13.616,-0.73
13.631,-0.73
13.646,-0.73
13.66,-0.73
13.674,-0.73
13.689,-0.73
13.703,-0.73
13.717,-0.73
13.732,-0.73
13.746,-0.73
13.761,-0.73
13.776,-0.73
13.79,-0.73
13.805,-0.73
13.819,-0.73
13.833,-0.73
13.848,-0.73
13.863,-0.73
13.877,-0.73
13.892,-0.73
13.906,-0.73
13.921,-0.73
13.935,-0.73
13.95,-0.73
13.965,-0.73
13.979,-0.73
13.994,-0.73
14.008,-0.73
14.023,-0.73
14.037,-0.73
14.051,-0.73
14.066,-0.73
14.08,-0.73
14.095,-0.73
14.109,-0.73
14.124,-0.73
14.138,-0.73
14.153,-0.73
14.168,-0.73
14.182,-0.73
14.197,-0.73
14.211,-0.73
14.226,-0.73
14.24,-0.73
14.255,-0.73
14.272,-0.73
14.287,-0.73
14.301,-0.73
14.316,-0.74
14.33,-0.74
14.345,-0.74
14.359,-0.74
14.374,-0.74
14.388,-0.74
14.403,-0.74
14.418,-0.74
14.432,-0.74
14.447,-0.74
14.461,-0.74
14.475,-0.74
14.49,-0.74
14.505,-0.74
14.519,-0.74
14.534,-0.74
14.548,-0.74
14.563,-0.74
14.577,-0.74
14.592,-0.74
14.606,-0.74
14.621,-0.74
14.636,-0.74
14.65,-0.74
14.665,-0.74
14.679,-0.74
14.693,-0.74
14.708,-0.74
14.722,-0.74
14.737,-0.74
14.751,-0.74
14.766,-0.74
14.781,-0.74
14.796,-0.74
14.811,-0.74
14.826,-0.74
14.841,-0.74
14.855,-0.74
14.87,-0.74
14.884,-0.74
14.899,-0.74
14.914,-0.74
14.929,-0.74
14.943,-0.74
14.958,-0.74
14.972,-0.74
14.987,-0.74
15.002,-0.74
15.016,-0.74
15.031,-0.74
