Time (s),Accel Roll (deg),Gyro Roll (deg)
3.809,27.84,27.99
3.823,27.83,27.99
3.838,27.7,27.99
3.852,27.72,27.99
3.867,27.88,27.99
3.881,27.85,27.99
3.895,27.69,27.99
3.91,27.69,27.99
3.924,27.77,27.99
3.939,27.88,27.99
3.953,27.77,28.0
3.968,27.78,28.0
3.984,27.8,28.0
3.999,27.71,28.0
4.014,27.64,28.0
4.028,27.74,27.99
4.043,27.93,27.99
4.058,27.87,28.0
4.073,27.76,28.0
4.087,27.78,28.0
4.101,27.85,28.0
4.116,27.83,28.0
4.131,27.79,28.0
4.146,27.79,28.0
4.16,27.81,28.0
4.175,27.75,28.0
4.19,27.73,28.0
4.205,27.83,28.0
4.219,27.92,28.0
4.234,27.74,28.0
4.248,27.67,28.0
4.263,27.81,27.99
4.278,27.83,27.99
4.292,27.78,27.99
4.306,27.82,27.99
4.32,27.87,27.99
4.335,27.74,27.99
4.35,27.68,27.99
4.364,27.74,27.99
4.378,27.79,27.99
4.393,27.88,27.99
4.407,27.85,27.99
4.422,27.67,27.99
4.436,27.66,27.99
4.45,27.83,27.99
4.464,27.9,27.99
4.478,27.75,27.99
4.493,27.72,27.99
4.507,27.78,27.99
4.521,27.87,27.99
4.536,27.8,27.99
4.55,27.78,27.99
4.564,27.87,27.99
4.578,27.87,27.99
4.592,27.78,27.99
4.607,27.67,27.99
4.621,27.76,27.99
4.635,27.9,27.99
4.649,27.85,27.99
4.664,27.74,27.99
4.678,27.78,27.99
4.693,27.87,27.99
4.707,27.79,27.99
4.722,27.73,27.99
4.736,27.85,27.99
4.75,27.84,27.99
4.764,27.77,27.99
4.779,27.7,27.99
4.793,27.75,27.99
4.807,27.81,27.99
4.822,27.84,27.99
4.836,27.78,27.99
4.85,27.74,27.99
4.864,27.77,27.99
4.879,27.8,27.99
4.893,27.79,27.99
4.907,27.76,27.99
4.922,27.8,27.99
4.936,27.82,27.99
4.95,27.76,27.99
4.965,27.77,27.99
4.979,27.81,27.99
4.993,27.81,27.99
5.008,27.78,28.0
5.023,27.76,27.99
5.037,27.78,27.99
5.052,27.73,27.99
5.066,27.73,27.99
5.081,27.73,27.99
5.096,27.77,27.99
5.11,27.8,28.0
5.124,27.81,28.0
5.139,27.8,28.0
5.153,27.81,28.0
5.167,27.79,28.0
5.182,27.81,28.0
5.196,27.82,27.99
5.211,27.79,27.99
5.226,27.75,27.99
5.24,27.76,27.99
5.257,27.8,27.99
5.272,27.83,27.99
5.286,27.8,27.99
5.301,27.77,27.99
5.316,27.77,27.99
5.33,27.78,27.99
5.345,27.78,27.99
5.36,27.89,27.99
5.375,27.93,27.99
5.389,27.84,27.99
5.403,27.75,28.0
5.418,27.81,28.0
5.433,27.83,28.0
5.447,27.8,28.0
5.461,27.77,28.0
5.476,27.77,27.99
5.49,27.76,27.99
5.504,27.75,27.99
5.518,27.75,27.99
5.532,27.81,27.99
5.547,27.86,27.99
5.561,27.8,27.99
5.576,27.74,27.99
5.59,27.82,27.99
5.604,27.89,27.99
5.619,27.82,27.99
5.633,27.74,27.99
5.647,27.79,27.99
5.661,27.81,27.99
5.676,27.77,27.99
5.69,27.76,27.99
5.705,27.8,27.99
5.719,27.8,27.99
5.733,27.82,27.99
5.747,27.75,27.99
5.762,27.74,27.99
5.776,27.81,27.99
5.79,27.82,27.99
5.804,27.79,27.99
5.819,27.78,27.99
5.833,27.79,27.99
5.847,27.84,27.99
5.861,27.84,27.99
5.875,27.82,27.99
5.89,27.81,27.99
5.904,27.77,27.99
5.918,27.77,27.99
5.932,27.78,27.99
5.947,27.8,27.99
5.961,27.84,27.99
5.975,27.87,27.99
5.99,27.83,27.99
6.005,27.75,27.99
6.019,27.76,27.99
6.034,27.83,27.99
6.048,27.83,27.99
6.062,27.79,27.99
6.077,27.8,27.99
6.092,27.82,27.99
6.107,27.85,28.0
6.122,27.81,28.0
6.137,27.79,28.0
6.151,27.78,28.0
6.165,27.78,28.0
6.18,27.76,28.0
6.195,27.78,28.0
6.209,27.86,28.0
6.224,27.84,28.0
6.239,27.8,28.0
6.253,27.81,28.0
6.268,27.83,28.0
6.282,27.78,28.0
6.297,27.77,28.0
6.311,27.77,28.0
6.325,27.8,28.0
6.34,27.75,28.0
6.354,27.76,28.0
6.369,27.75,28.0
6.384,27.75,28.0
6.398,27.76,28.0
6.413,27.72,28.0
6.427,27.78,28.0
6.442,27.84,27.99
6.456,27.91,27.99
6.47,27.86,27.99
6.484,27.82,28.0
6.498,27.87,28.0
6.513,27.79,28.0
6.527,27.71,28.0
6.541,27.82,28.0
6.555,27.7,28.0
6.569,27.71,28.0
6.584,27.84,28.0
6.598,27.83,28.0
6.612,27.77,28.0
6.626,27.72,28.0
6.641,27.79,27.99
6.655,27.82,27.99
6.669,27.76,27.99
6.683,27.74,27.99
6.698,27.88,27.99
6.712,27.86,27.99
6.727,27.77,27.99
6.741,27.78,27.99
6.755,27.8,27.99
6.77,27.76,27.99
6.784,27.75,27.99
6.798,27.78,27.99
6.812,27.74,27.99
6.826,27.74,27.99
6.841,27.79,27.99
6.855,27.78,27.99
6.869,27.75,27.99
6.883,27.76,27.99
6.898,27.81,27.99
6.912,27.86,27.99
6.926,27.82,27.99
6.941,27.87,27.99
6.956,27.89,27.99
6.97,27.84,27.99
6.984,27.78,27.99
6.999,27.79,27.99
7.013,27.79,27.99
7.027,27.82,27.99
7.042,27.74,27.99
7.056,27.78,27.99
7.071,27.88,27.99
7.085,27.79,27.99
7.099,27.77,27.99
7.114,27.81,27.99
7.128,27.82,27.99
7.143,27.8,27.99
7.157,27.76,27.99
7.172,27.86,27.99
7.186,27.92,27.99
7.201,27.77,27.99
7.216,27.72,27.99
7.23,27.83,27.99
7.245,27.82,27.99
7.259,27.78,27.99
7.273,27.79,27.99
7.288,27.85,27.99
7.302,27.83,27.99
7.317,27.79,27.99
7.331,27.78,28.0
7.346,27.77,27.99
7.36,27.82,27.99
7.375,27.88,27.99
7.39,27.83,27.99
7.404,27.8,27.99
7.419,27.84,27.99
7.433,27.85,27.99
7.447,27.75,27.99
7.462,27.78,27.99
7.476,27.85,27.99
7.49,27.73,27.99
7.504,27.72,27.99
7.519,27.82,27.99
7.533,27.9,27.99
7.547,27.86,27.99
7.561,27.74,27.99
7.576,27.75,27.99
7.59,27.81,27.99
7.605,27.83,27.99
7.619,27.82,27.99
7.633,27.85,27.99
7.648,27.87,27.99
7.662,27.83,27.99
7.676,27.7,27.99
7.691,27.75,27.99
7.706,27.89,27.99
7.721,27.87,27.99
7.736,27.75,27.99
7.75,27.78,27.99
7.765,27.89,27.99
7.779,27.81,27.99
7.793,27.77,27.99
7.807,27.85,27.99
7.821,27.83,27.99
7.835,27.79,27.99
7.85,27.75,27.99
7.864,27.85,27.99
7.878,27.91,27.99
7.892,27.88,27.99
7.907,27.78,27.99
7.921,27.74,27.99
7.937,27.84,27.99
7.951,27.71,27.99
7.965,27.74,27.99
7.979,27.86,27.99
7.993,27.82,27.99
8.008,27.86,27.99
8.023,27.88,28.0
8.037,27.89,28.0
8.052,27.65,28.0
8.066,27.72,28.0
8.081,27.9,28.0
8.095,27.92,28.0
8.11,27.8,28.0
8.124,27.69,28.0
8.139,27.71,28.0
8.153,27.85,28.0
8.168,27.86,28.0
8.183,27.73,28.0
8.197,27.72,28.0
8.212,27.86,27.99
8.226,27.89,27.99
8.241,27.84,28.0
8.256,27.88,28.0
8.27,27.83,28.0
8.285,27.75,28.0
8.3,27.67,28.0
8.314,27.77,28.0
8.329,27.94,28.0
8.343,27.91,28.0
8.358,27.76,28.0
8.373,27.76,28.0
8.388,27.88,28.0
