Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.0,1.14,0.1,1.31,0.14,1.31,0.14
0.0,1.13,0.05,1.31,0.14,1.31,0.14
0.028,1.05,0.03,1.31,0.14,1.31,0.14
0.06,0.97,0.05,1.31,0.14,1.31,0.14
0.091,0.97,0.01,1.31,0.14,1.31,0.14
0.121,1.0,0.01,1.31,0.14,1.31,0.14
0.152,1.1,0.06,1.31,0.14,1.31,0.14
0.183,1.13,0.07,1.31,0.14,1.31,0.14
0.213,1.11,0.07,1.31,0.14,1.31,0.14
0.243,0.96,0.04,1.31,0.14,1.31,0.14
0.272,0.96,0.03,1.31,0.14,1.31,0.14
0.302,1.06,0.06,1.31,0.14,1.3,0.14
0.331,1.14,0.09,1.31,0.14,1.31,0.14
0.361,1.07,0.1,1.31,0.14,1.31,0.14
0.391,1.03,0.06,1.31,0.14,1.31,0.14
0.42,1.04,-0.01,1.31,0.14,1.3,0.14
0.452,1.09,0.08,1.31,0.14,1.3,0.14
0.482,1.07,0.1,1.31,0.14,1.3,0.14
0.513,1.03,0.03,1.31,0.14,1.3,0.14
0.543,1.08,0.01,1.31,0.14,1.3,0.14
0.572,1.13,0.11,1.31,0.14,1.3,0.14
0.601,1.09,0.14,1.31,0.14,1.31,0.14
0.631,1.04,0.09,1.31,0.14,1.31,0.14
0.66,1.08,0.08,1.31,0.14,1.31,0.14
0.689,1.1,0.11,1.31,0.14,1.31,0.14
0.719,1.18,0.1,1.31,0.14,1.31,0.14
0.749,1.14,0.07,1.31,0.14,1.31,0.14
0.779,1.06,0.03,1.31,0.14,1.31,0.14
0.808,1.03,0.06,1.31,0.14,1.31,0.14
0.838,1.03,0.11,1.31,0.14,1.31,0.14
0.867,1.11,0.06,1.31,0.14,1.31,0.14
0.896,1.13,0.08,1.31,0.14,1.31,0.14
0.925,1.09,0.08,1.31,0.14,1.31,0.14
0.956,1.0,0.1,1.31,0.14,1.31,0.14
0.985,0.97,0.1,1.31,0.14,1.31,0.14
1.014,1.07,0.02,1.31,0.14,1.31,0.14
1.042,1.11,-0.02,1.31,0.14,1.31,0.14
1.071,1.13,0.03,1.31,0.14,1.31,0.14
1.101,1.08,0.09,1.31,0.14,1.31,0.14
1.13,1.06,0.14,1.31,0.14,1.31,0.14
1.159,1.05,0.09,1.31,0.14,1.3,0.14
1.19,1.06,0.05,1.31,0.14,1.3,0.14
1.219,1.07,-0.03,1.31,0.14,1.31,0.14
1.247,1.12,-0.04,1.31,0.14,1.31,0.14
1.278,1.1,0.06,1.31,0.14,1.31,0.14
1.307,1.03,0.11,1.31,0.14,1.31,0.14
1.336,0.95,0.1,1.31,0.14,1.3,0.14
1.366,1.05,0.03,1.31,0.14,1.3,0.14
1.396,1.11,0.0,1.31,0.14,1.3,0.14
1.425,1.02,0.07,1.31,0.14,1.3,0.14
1.454,1.03,0.08,1.31,0.14,1.3,0.14
1.482,1.0,0.07,1.31,0.14,1.3,0.14
1.511,0.99,0.08,1.31,0.14,1.3,0.14
1.541,1.01,0.01,1.31,0.14,1.3,0.14
1.57,1.06,-0.01,1.3,0.14,1.3,0.14
1.599,1.08,0.01,1.3,0.14,1.3,0.14
1.629,1.03,0.06,1.31,0.14,1.3,0.14
1.658,1.02,-0.12,1.31,0.14,1.3,0.14
1.686,1.24,0.43,1.3,0.13,1.3,0.14
1.716,1.02,0.3,1.31,0.14,1.3,0.14
1.745,0.98,-0.13,1.31,0.14,1.31,0.14
1.774,1.06,-0.28,1.31,0.14,1.31,0.13
1.803,1.2,-0.16,1.31,0.13,1.31,0.13
1.832,1.14,0.15,1.31,0.13,1.31,0.13
1.861,1.09,0.12,1.31,0.13,1.31,0.13
1.89,1.03,-0.04,1.31,0.13,1.31,0.13
1.919,1.03,0.01,1.31,0.13,1.31,0.13
1.949,1.01,0.08,1.31,0.13,1.31,0.13
1.978,1.09,0.07,1.31,0.13,1.31,0.13
2.008,1.08,0.01,1.31,0.13,1.31,0.13
2.037,1.02,-0.03,1.31,0.13,1.31,0.13
2.067,1.07,0.17,1.31,0.13,1.31,0.13
2.096,1.06,0.24,1.31,0.13,1.31,0.13
2.125,0.98,0.04,1.32,0.13,1.31,0.13
2.155,1.05,0.0,1.31,0.13,1.31,0.13
2.183,1.1,0.1,1.31,0.13,1.31,0.13
2.213,1.05,0.09,1.31,0.13,1.31,0.13
2.242,1.03,0.06,1.31,0.13,1.31,0.13
2.271,1.07,0.0,1.31,0.13,1.31,0.13
2.301,1.07,0.04,1.31,0.13,1.31,0.13
2.331,1.0,0.13,1.31,0.13,1.31,0.13
2.36,1.03,0.11,1.31,0.13,1.31,0.13
2.389,1.03,0.04,1.31,0.13,1.31,0.13
2.419,1.03,0.08,1.31,0.13,1.31,0.13
2.448,1.07,0.13,1.31,0.13,1.31,0.13
2.477,1.07,0.1,1.31,0.13,1.31,0.13
2.506,1.06,0.07,1.31,0.13,1.31,0.13
2.536,1.17,0.08,1.31,0.13,1.31,0.13
2.564,1.12,0.08,1.31,0.13,1.31,0.13
2.593,1.07,0.03,1.31,0.13,1.31,0.13
2.622,1.05,0.09,1.31,0.13,1.31,0.13
2.651,1.05,0.09,1.31,0.13,1.31,0.13
2.681,1.06,0.06,1.31,0.13,1.31,0.13
2.711,1.08,0.03,1.31,0.13,1.31,0.13
2.741,1.11,0.04,1.31,0.13,1.31,0.13
2.771,1.12,0.08,1.31,0.14,1.31,0.13
2.8,1.09,0.1,1.31,0.14,1.31,0.14
2.829,1.03,0.1,1.31,0.14,1.31,0.14
2.858,1.05,0.15,1.31,0.14,1.31,0.14
2.889,1.06,0.06,1.31,0.14,1.31,0.14
2.92,1.08,0.02,1.31,0.14,1.31,0.14
2.949,1.07,0.0,1.31,0.14,1.31,0.14
2.977,1.03,0.07,1.31,0.14,1.31,0.14
3.008,1.04,0.09,1.31,0.14,1.31,0.14
3.038,1.08,0.08,1.31,0.14,1.31,0.14
3.067,1.09,0.08,1.31,0.14,1.31,0.14
3.096,1.09,0.09,1.31,0.14,1.31,0.14
3.127,1.05,0.02,1.31,0.14,1.31,0.14
3.157,1.03,0.05,1.31,0.14,1.31,0.14
3.187,1.04,0.08,1.31,0.14,1.31,0.14
3.217,1.07,0.06,1.31,0.14,1.3,0.14
3.249,1.05,0.05,1.31,0.14,1.31,0.14
3.279,1.03,0.05,1.31,0.14,1.3,0.14
3.309,1.08,0.03,1.31,0.14,1.31,0.14
3.339,1.08,0.06,1.31,0.14,1.3,0.14
3.369,1.04,0.09,1.31,0.14,1.3,0.14
3.399,1.03,0.1,1.31,0.14,1.3,0.14
3.428,1.08,0.05,1.31,0.14,1.3,0.14
3.456,1.06,0.08,1.31,0.14,1.3,0.14
3.485,1.01,0.08,1.31,0.14,1.3,0.14
3.514,1.05,0.08,1.31,0.14,1.3,0.14
3.542,1.1,0.1,1.31,0.14,1.31,0.14
3.571,1.07,0.1,1.31,0.14,1.31,0.14
3.6,1.07,0.1,1.31,0.14,1.31,0.14
3.628,1.09,0.02,1.31,0.14,1.31,0.14
3.657,1.1,-0.03,1.31,0.14,1.31,0.14
3.686,1.0,0.01,1.31,0.14,1.31,0.14
3.715,1.0,0.04,1.31,0.14,1.31,0.13
3.743,1.02,0.13,1.31,0.14,1.31,0.14
3.773,1.01,0.15,1.31,0.14,1.3,0.14
3.802,1.06,0.1,1.31,0.14,1.3,0.14
3.831,1.08,0.01,1.31,0.14,1.3,0.14
3.859,1.05,0.06,1.31,0.14,1.3,0.14
3.889,1.01,0.11,1.31,0.14,1.3,0.14
3.918,1.03,0.1,1.31,0.14,1.3,0.14
3.946,1.05,0.1,1.31,0.14,1.3,0.14
3.975,1.04,0.1,1.31,0.14,1.3,0.14
4.006,1.06,0.08,1.31,0.14,1.3,0.14
4.035,1.11,0.03,1.31,0.14,1.31,0.14
4.064,1.12,0.01,1.31,0.14,1.31,0.14
4.093,1.06,0.05,1.31,0.14,1.31,0.14
4.123,1.03,0.08,1.31,0.14,1.31,0.14
4.153,1.03,0.06,1.31,0.14,1.31,0.14
4.182,1.12,-0.01,1.31,0.14,1.31,0.14
4.21,1.09,-0.01,1.31,0.14,1.31,0.14
4.238,1.06,0.1,1.31,0.14,1.31,0.14
4.268,1.08,0.12,1.31,0.14,1.31,0.14
4.296,1.12,0.12,1.31,0.14,1.31,0.14
4.325,1.07,0.12,1.31,0.14,1.31,0.14
4.354,1.02,0.06,1.31,0.14,1.31,0.14
4.383,1.05,0.03,1.31,0.14,1.31,0.14
4.413,1.02,0.04,1.31,0.14,1.31,0.14
4.441,0.99,0.06,1.31,0.14,1.31,0.14
4.471,1.05,0.02,1.31,0.14,1.31,0.14
4.5,1.06,0.06,1.31,0.14,1.31,0.14
4.529,1.05,0.04,1.31,0.14,1.31,0.14
4.56,1.75,-0.49,1.31,0.14,1.32,0.13
4.589,1.35,0.66,1.33,0.13,1.33,0.14
4.619,0.37,2.61,1.35,0.13,1.34,0.16
4.648,1.02,2.41,1.35,0.16,1.35,0.18
4.677,1.36,-0.4,1.35,0.18,1.35,0.17
4.706,2.66,-1.7,1.36,0.18,1.37,0.16
4.735,4.24,-2.78,1.36,0.18,1.39,0.15
4.763,1.91,0.75,1.49,0.15,1.5,0.16
4.793,-2.88,3.75,1.77,0.16,1.72,0.19
4.822,-3.15,2.49,2.04,0.2,1.99,0.22
4.852,-0.58,0.68,1.98,0.26,1.96,0.27
4.882,2.96,-2.23,1.83,0.33,1.84,0.3
4.912,7.07,-2.5,1.59,0.37,1.64,0.34
4.942,6.31,-1.86,1.54,0.38,1.59,0.36
4.971,-3.35,-4.03,1.69,0.4,1.64,0.36
5.002,-4.89,-7.01,1.95,0.37,1.88,0.29
5.031,-4.1,2.21,2.17,0.25,2.11,0.27
5.061,-3.86,0.03,2.23,0.16,2.16,0.16
5.089,-3.13,0.24,2.19,0.04,2.14,0.04
5.118,0.62,7.2,2.02,-0.05,2.0,0.02
5.148,1.68,1.99,1.89,-0.01,1.88,0.01
5.177,-0.85,-5.77,1.84,0.01,1.81,-0.05
5.206,4.32,-5.1,1.62,-0.01,1.65,-0.06
5.235,12.05,2.26,1.22,-0.03,1.33,-0.01
5.262,5.13,8.08,1.18,-0.03,1.22,0.06
5.292,0.89,12.65,1.19,0.1,1.19,0.22
5.322,-8.49,12.06,1.31,0.44,1.21,0.56
5.351,-17.57,0.87,1.31,0.88,1.12,0.88
5.378,-14.22,-7.86,0.52,1.2,0.37,1.1
