Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.0,-1.13,-1.36,-0.96,-1.33,-0.96,-1.33
0.009,-1.11,-1.36,-0.96,-1.33,-0.96,-1.33
0.023,-1.14,-1.36,-0.96,-1.33,-0.96,-1.33
0.038,-1.18,-1.35,-0.96,-1.33,-0.96,-1.33
0.052,-1.13,-1.32,-0.96,-1.33,-0.96,-1.33
0.067,-1.1,-1.36,-0.95,-1.33,-0.96,-1.33
0.081,-1.1,-1.36,-0.95,-1.33,-0.95,-1.33
0.095,-1.14,-1.33,-0.95,-1.33,-0.96,-1.33
0.11,-1.12,-1.32,-0.95,-1.33,-0.96,-1.33
0.125,-1.14,-1.36,-0.95,-1.33,-0.96,-1.33
0.139,-1.15,-1.37,-0.95,-1.33,-0.96,-1.33
0.154,-1.18,-1.32,-0.95,-1.33,-0.96,-1.33
0.17,-1.21,-1.29,-0.95,-1.33,-0.95,-1.33
0.184,-1.23,-1.29,-0.95,-1.33,-0.95,-1.33
0.199,-1.22,-1.31,-0.95,-1.33,-0.96,-1.33
0.213,-1.23,-1.29,-0.95,-1.33,-0.96,-1.33
0.228,-1.18,-1.27,-0.96,-1.33,-0.96,-1.33
0.242,-1.11,-1.28,-0.96,-1.33,-0.96,-1.33
0.256,-1.09,-1.29,-0.96,-1.33,-0.96,-1.33
0.271,-1.1,-1.35,-0.96,-1.33,-0.96,-1.33
0.285,-1.11,-1.36,-0.96,-1.33,-0.96,-1.33
0.3,-1.14,-1.36,-0.96,-1.33,-0.96,-1.33
0.314,-1.14,-1.34,-0.96,-1.33,-0.96,-1.33
0.329,-1.08,-1.3,-0.96,-1.33,-0.96,-1.33
0.343,-1.07,-1.33,-0.96,-1.33,-0.96,-1.33
0.358,-1.14,-1.43,-0.96,-1.33,-0.96,-1.33
0.372,-1.14,-1.38,-0.96,-1.33,-0.96,-1.33
0.386,-1.18,-1.34,-0.95,-1.33,-0.96,-1.33
0.401,-1.21,-1.31,-0.95,-1.33,-0.96,-1.33
0.415,-1.18,-1.31,-0.95,-1.33,-0.96,-1.33
