Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.001,-1.21,-1.36,-0.98,-1.32,-0.98,-1.32
0.005,-1.14,-1.36,-0.98,-1.32,-0.98,-1.32
0.019,-1.16,-1.36,-0.98,-1.32,-0.98,-1.32
0.034,-1.16,-1.34,-0.98,-1.33,-0.98,-1.33
0.048,-1.14,-1.33,-0.98,-1.33,-0.98,-1.33
0.063,-1.1,-1.32,-0.98,-1.32,-0.98,-1.32
0.08,-1.12,-1.31,-0.97,-1.32,-0.98,-1.32
0.093,-1.17,-1.38,-0.97,-1.32,-0.98,-1.32
0.108,-1.15,-1.35,-0.97,-1.33,-0.97,-1.33
0.122,-1.12,-1.33,-0.97,-1.33,-0.97,-1.33
0.137,-1.16,-1.33,-0.97,-1.33,-0.97,-1.33
0.151,-1.21,-1.32,-0.97,-1.33,-0.97,-1.33
0.166,-1.27,-1.35,-0.97,-1.33,-0.97,-1.33
0.18,-1.28,-1.36,-0.97,-1.33,-0.97,-1.33
0.195,-1.18,-1.33,-0.97,-1.33,-0.97,-1.33
0.209,-1.15,-1.32,-0.97,-1.33,-0.97,-1.33
0.223,-1.16,-1.32,-0.97,-1.33,-0.97,-1.33
0.238,-1.22,-1.33,-0.97,-1.33,-0.97,-1.33
0.253,-1.14,-1.35,-0.97,-1.33,-0.97,-1.33
0.267,-1.11,-1.34,-0.97,-1.33,-0.97,-1.33
0.282,-1.11,-1.34,-0.97,-1.33,-0.97,-1.33
0.301,-1.11,-1.26,-0.97,-1.33,-0.97,-1.33
0.315,-1.14,-1.22,-0.97,-1.33,-0.97,-1.32
0.33,-1.12,-1.28,-0.97,-1.32,-0.97,-1.32
0.344,-1.22,-1.4,-0.97,-1.32,-0.97,-1.32
0.359,-1.18,-1.4,-0.97,-1.32,-0.97,-1.32
0.373,-1.1,-1.34,-0.97,-1.32,-0.97,-1.32
0.388,-1.1,-1.29,-0.97,-1.32,-0.97,-1.32
0.403,-1.14,-1.25,-0.97,-1.32,-0.97,-1.32
0.417,-1.14,-1.26,-0.97,-1.32,-0.97,-1.32
0.431,-1.18,-1.4,-0.97,-1.32,-0.97,-1.32
0.445,-1.14,-1.43,-0.97,-1.32,-0.97,-1.32
0.46,-1.1,-1.29,-0.97,-1.32,-0.97,-1.32
0.474,-1.07,-1.24,-0.97,-1.32,-0.97,-1.32
0.489,-1.14,-1.29,-0.96,-1.32,-0.97,-1.32
0.504,-1.14,-1.3,-0.96,-1.32,-0.97,-1.32
0.518,-1.09,-1.38,-0.96,-1.32,-0.96,-1.32
0.533,-1.1,-1.34,-0.96,-1.32,-0.96,-1.32
0.547,-1.14,-1.27,-0.96,-1.32,-0.96,-1.32
0.562,-1.12,-1.29,-0.96,-1.32,-0.96,-1.32
0.576,-1.15,-1.38,-0.96,-1.32,-0.96,-1.32
0.591,-1.23,-1.38,-0.96,-1.32,-0.96,-1.32
0.605,-1.2,-1.33,-0.96,-1.32,-0.97,-1.32
0.619,-1.08,-1.3,-0.96,-1.32,-0.96,-1.32
0.634,-1.08,-1.31,-0.96,-1.32,-0.96,-1.32
0.648,-1.15,-1.31,-0.96,-1.32,-0.96,-1.32
0.663,-1.13,-1.29,-0.96,-1.32,-0.96,-1.32
0.677,-1.16,-1.29,-0.96,-1.32,-0.96,-1.32
0.691,-1.16,-1.32,-0.96,-1.32,-0.96,-1.32
0.706,-1.16,-1.34,-0.96,-1.32,-0.96,-1.32
0.72,-1.17,-1.32,-0.96,-1.32,-0.96,-1.32
0.735,-1.14,-1.29,-0.96,-1.32,-0.96,-1.32
0.75,-1.19,-1.3,-0.96,-1.32,-0.96,-1.32
0.764,-1.18,-1.35,-0.96,-1.32,-0.96,-1.32
0.779,-1.1,-1.38,-0.96,-1.32,-0.96,-1.32
0.793,-1.09,-1.35,-0.96,-1.32,-0.96,-1.32
0.807,-1.12,-1.3,-0.96,-1.32,-0.96,-1.32
0.822,-1.16,-1.31,-0.95,-1.32,-0.96,-1.32
0.836,-1.16,-1.33,-0.95,-1.32,-0.96,-1.32
0.851,-1.24,-1.36,-0.95,-1.32,-0.96,-1.32
0.865,-1.21,-1.29,-0.95,-1.32,-0.96,-1.32
0.88,-1.15,-1.31,-0.95,-1.32,-0.96,-1.32
0.894,-1.13,-1.31,-0.95,-1.32,-0.95,-1.32
0.908,-1.16,-1.32,-0.95,-1.32,-0.95,-1.32
0.923,-1.19,-1.34,-0.95,-1.32,-0.95,-1.32
0.937,-1.16,-1.36,-0.95,-1.32,-0.95,-1.32
0.952,-1.16,-1.31,-0.95,-1.32,-0.95,-1.32
0.966,-1.11,-1.33,-0.95,-1.32,-0.95,-1.32
0.981,-1.09,-1.36,-0.95,-1.32,-0.95,-1.32
0.995,-1.12,-1.37,-0.95,-1.32,-0.95,-1.32
1.009,-1.16,-1.36,-0.95,-1.32,-0.95,-1.32
1.024,-1.25,-1.39,-0.95,-1.32,-0.95,-1.32
1.038,-1.23,-1.37,-0.95,-1.32,-0.96,-1.32
1.053,-1.18,-1.34,-0.95,-1.32,-0.96,-1.32
1.067,-1.13,-1.33,-0.95,-1.33,-0.96,-1.33
1.082,-1.12,-1.36,-0.95,-1.33,-0.95,-1.33
1.097,-1.16,-1.37,-0.95,-1.33,-0.96,-1.33
1.111,-1.21,-1.37,-0.95,-1.33,-0.96,-1.33
