Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.0,0.5,-1.36,8.75,-1.36,8.74,-1.36
0.0,8.5,-1.33,8.75,-1.36,8.75,-1.36
0.032,8.55,-1.39,8.75,-1.36,8.75,-1.36
0.066,8.54,-1.42,8.75,-1.36,8.75,-1.36
0.1,8.55,-1.39,8.75,-1.36,8.75,-1.36
0.133,8.59,-1.38,8.75,-1.36,8.75,-1.36
0.169,8.52,-1.34,8.75,-1.36,8.75,-1.36
0.202,8.47,-1.36,8.75,-1.36,8.75,-1.36
0.239,8.55,-1.38,8.75,-1.36,8.75,-1.36
0.283,8.58,-1.37,8.75,-1.36,8.75,-1.36
0.316,8.5,-1.32,8.75,-1.36,8.75,-1.36
0.347,8.52,-1.33,8.75,-1.36,8.75,-1.36
0.379,8.54,-1.35,8.75,-1.36,8.75,-1.36
0.412,8.57,-1.36,8.75,-1.36,8.75,-1.36
0.443,8.6,-1.39,8.75,-1.36,8.75,-1.36
0.475,8.57,-1.42,8.75,-1.36,8.75,-1.36
0.508,8.55,-1.37,8.75,-1.36,8.75,-1.36
0.541,8.56,-1.31,8.75,-1.36,8.75,-1.36
0.572,8.53,-1.34,8.75,-1.36,8.75,-1.36
0.604,8.55,-1.37,8.75,-1.36,8.75,-1.36
0.639,8.54,-1.4,8.75,-1.36,8.75,-1.36
0.672,8.52,-1.39,8.75,-1.36,8.75,-1.36
0.706,8.55,-1.38,8.75,-1.36,8.75,-1.36
0.737,8.57,-1.38,8.75,-1.36,8.75,-1.36
0.77,8.6,-1.35,8.75,-1.36,8.75,-1.36
0.802,8.58,-1.32,8.75,-1.36,8.75,-1.36
0.836,8.54,-1.39,8.75,-1.36,8.75,-1.36
0.87,8.6,-1.42,8.75,-1.37,8.75,-1.37
0.907,8.63,-1.39,8.75,-1.36,8.75,-1.36
0.94,8.56,-1.36,8.75,-1.36,8.75,-1.36
0.973,8.53,-1.35,8.76,-1.36,8.75,-1.36
1.004,8.53,-1.34,8.76,-1.36,8.75,-1.36
1.038,8.48,-1.37,8.76,-1.36,8.75,-1.36
1.073,8.48,-1.35,8.76,-1.36,8.75,-1.36
1.104,8.52,-1.36,8.75,-1.36,8.75,-1.36
1.136,8.54,-1.4,8.75,-1.36,8.75,-1.36
1.168,8.65,-1.41,8.75,-1.36,8.75,-1.36
1.199,8.64,-1.39,8.75,-1.36,8.75,-1.36
1.23,8.58,-1.39,8.76,-1.36,8.75,-1.36
1.262,8.55,-1.38,8.76,-1.36,8.75,-1.36
