Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.001,-0.96,-1.34,-0.8,-1.24,-0.8,-1.24
0.014,-1.04,-1.23,-0.8,-1.24,-0.8,-1.24
0.028,-1.07,-1.18,-0.8,-1.24,-0.8,-1.24
0.043,-0.98,-1.28,-0.8,-1.24,-0.8,-1.24
0.057,-0.98,-1.3,-0.8,-1.24,-0.8,-1.24
0.072,-1.04,-1.24,-0.8,-1.24,-0.8,-1.24
0.087,-1.02,-1.25,-0.8,-1.24,-0.8,-1.24
0.101,-0.92,-1.27,-0.8,-1.24,-0.8,-1.24
0.115,-0.97,-1.23,-0.8,-1.24,-0.8,-1.24
0.13,-1.03,-1.23,-0.8,-1.24,-0.8,-1.24
0.145,-1.03,-1.34,-0.8,-1.24,-0.8,-1.24
0.159,-1.0,-1.32,-0.8,-1.24,-0.8,-1.24
0.174,-0.96,-1.23,-0.8,-1.24,-0.8,-1.24
0.188,-1.06,-1.23,-0.79,-1.25,-0.8,-1.25
0.203,-1.1,-1.25,-0.8,-1.25,-0.8,-1.25
0.217,-1.06,-1.29,-0.8,-1.25,-0.8,-1.25
0.232,-0.97,-1.22,-0.8,-1.25,-0.8,-1.25
0.246,-1.08,-1.24,-0.8,-1.24,-0.8,-1.24
0.261,-1.01,-1.28,-0.8,-1.24,-0.8,-1.24
0.275,-0.99,-1.25,-0.8,-1.24,-0.8,-1.24
0.29,-1.03,-1.17,-0.8,-1.24,-0.8,-1.24
0.304,-1.07,-1.2,-0.8,-1.24,-0.8,-1.24
0.318,-1.04,-1.26,-0.8,-1.24,-0.8,-1.24
0.333,-0.95,-1.27,-0.8,-1.24,-0.8,-1.24
0.347,-0.9,-1.22,-0.8,-1.24,-0.8,-1.24
0.362,-1.02,-1.18,-0.8,-1.24,-0.8,-1.24
0.377,-1.04,-1.26,-0.8,-1.24,-0.8,-1.24
0.391,-1.01,-1.28,-0.8,-1.24,-0.8,-1.24
0.405,-0.99,-1.23,-0.8,-1.24,-0.8,-1.24
0.42,-1.07,-1.2,-0.8,-1.24,-0.8,-1.24
0.434,-1.06,-1.22,-0.8,-1.24,-0.81,-1.24
0.449,-1.02,-1.23,-0.8,-1.24,-0.81,-1.24
0.463,-0.94,-1.21,-0.81,-1.24,-0.81,-1.24
0.478,-0.92,-1.24,-0.81,-1.24,-0.81,-1.24
0.492,-0.98,-1.31,-0.81,-1.24,-0.81,-1.24
0.506,-0.97,-1.31,-0.81,-1.24,-0.81,-1.24
0.521,-0.95,-1.32,-0.81,-1.24,-0.81,-1.24
0.536,-0.97,-1.27,-0.81,-1.24,-0.81,-1.24
0.55,-1.0,-1.33,-0.81,-1.24,-0.81,-1.24
0.565,-1.0,-1.31,-0.8,-1.24,-0.81,-1.24
0.58,-1.04,-1.16,-0.8,-1.24,-0.81,-1.24
0.594,-1.09,-1.18,-0.8,-1.24,-0.81,-1.24
0.609,-0.97,-1.28,-0.81,-1.24,-0.81,-1.24
0.623,-0.98,-1.28,-0.81,-1.24,-0.81,-1.24
0.638,-1.03,-1.25,-0.81,-1.24,-0.81,-1.24
0.652,-1.03,-1.23,-0.81,-1.24,-0.81,-1.24
0.667,-1.05,-1.2,-0.81,-1.24,-0.81,-1.24
0.681,-1.05,-1.19,-0.81,-1.24,-0.81,-1.24
0.696,-0.96,-1.21,-0.81,-1.24,-0.81,-1.24
0.71,-0.93,-1.25,-0.81,-1.24,-0.81,-1.24
0.725,-0.89,-1.28,-0.81,-1.24,-0.81,-1.24
0.74,-0.92,-1.31,-0.81,-1.24,-0.81,-1.24
0.754,-0.97,-1.27,-0.81,-1.24,-0.81,-1.24
0.768,-1.0,-1.26,-0.8,-1.24,-0.81,-1.24
0.783,-1.03,-1.23,-0.8,-1.24,-0.81,-1.24
0.797,-1.05,-1.21,-0.81,-1.24,-0.81,-1.24
0.812,-1.04,-1.23,-0.81,-1.24,-0.81,-1.24
0.826,-1.05,-1.23,-0.81,-1.24,-0.81,-1.24
0.84,-1.05,-1.24,-0.81,-1.24,-0.81,-1.24
0.855,-1.02,-1.25,-0.81,-1.24,-0.81,-1.24
0.87,-1.01,-1.25,-0.81,-1.24,-0.81,-1.24
0.884,-0.98,-1.31,-0.81,-1.24,-0.81,-1.24
0.899,-0.94,-1.31,-0.81,-1.24,-0.81,-1.24
0.913,-0.98,-1.31,-0.81,-1.24,-0.81,-1.24
0.928,-0.93,-1.3,-0.81,-1.24,-0.81,-1.24
