Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.0,-0.53,-0.52,-0.36,-0.45,-0.36,-0.45
0.0,-0.63,-0.55,-0.36,-0.45,-0.36,-0.45
0.029,-0.65,-0.54,-0.36,-0.45,-0.36,-0.45
0.06,-0.59,-0.54,-0.36,-0.45,-0.36,-0.45
0.091,-0.53,-0.57,-0.36,-0.45,-0.36,-0.45
0.122,-0.56,-0.5,-0.36,-0.45,-0.36,-0.45
0.151,-0.6,-0.5,-0.36,-0.45,-0.36,-0.45
0.182,-0.69,-0.51,-0.36,-0.45,-0.36,-0.45
0.212,-0.65,-0.46,-0.36,-0.45,-0.36,-0.45
0.242,-0.57,-0.45,-0.35,-0.45,-0.36,-0.45
0.271,-0.61,-0.52,-0.36,-0.44,-0.36,-0.45
0.301,-0.63,-0.54,-0.36,-0.44,-0.36,-0.45
0.331,-0.6,-0.54,-0.36,-0.45,-0.36,-0.45
0.36,-0.58,-0.54,-0.36,-0.45,-0.36,-0.45
0.39,-0.63,-0.53,-0.36,-0.45,-0.36,-0.45
0.418,-0.59,-0.5,-0.35,-0.45,-0.36,-0.45
0.446,-0.6,-0.46,-0.35,-0.44,-0.36,-0.44
0.475,-0.54,-0.48,-0.35,-0.44,-0.36,-0.44
0.503,-0.52,-0.46,-0.35,-0.44,-0.35,-0.44
0.532,-0.7,-0.5,-0.35,-0.44,-0.35,-0.44
0.561,-0.72,-0.56,-0.35,-0.44,-0.36,-0.44
0.589,-0.61,-0.59,-0.35,-0.44,-0.36,-0.44
0.617,-0.59,-0.56,-0.35,-0.44,-0.35,-0.44
0.647,-0.6,-0.58,-0.35,-0.44,-0.36,-0.44
0.676,-0.56,-0.55,-0.35,-0.44,-0.36,-0.44
0.705,-0.54,-0.48,-0.35,-0.44,-0.36,-0.44
0.734,-0.58,-0.47,-0.35,-0.44,-0.35,-0.44
0.765,-0.66,-0.52,-0.35,-0.44,-0.35,-0.44
0.796,-0.62,-0.5,-0.35,-0.44,-0.35,-0.44
0.825,-0.59,-0.5,-0.35,-0.44,-0.35,-0.44
0.852,-0.59,-0.5,-0.35,-0.44,-0.35,-0.44
0.88,-0.58,-0.48,-0.35,-0.44,-0.36,-0.44
0.911,-0.61,-0.52,-0.35,-0.44,-0.36,-0.44
0.942,-0.64,-0.52,-0.35,-0.44,-0.36,-0.44
0.971,-0.59,-0.55,-0.35,-0.44,-0.36,-0.44
1.001,-0.59,-0.54,-0.35,-0.44,-0.36,-0.44
1.03,-0.61,-0.54,-0.35,-0.44,-0.35,-0.44
1.059,-0.63,-0.52,-0.35,-0.44,-0.35,-0.44
1.087,-0.63,-0.5,-0.35,-0.44,-0.35,-0.44
1.116,-0.61,-0.53,-0.35,-0.44,-0.35,-0.44
1.144,-0.61,-0.52,-0.35,-0.44,-0.35,-0.44
1.173,-0.59,-0.52,-0.35,-0.44,-0.35,-0.44
1.202,-0.64,-0.53,-0.35,-0.44,-0.35,-0.44
1.23,-0.65,-0.5,-0.35,-0.44,-0.35,-0.44
1.26,-0.63,-0.49,-0.35,-0.44,-0.35,-0.45
1.288,-0.57,-0.52,-0.35,-0.44,-0.35,-0.44
1.317,-0.62,-0.52,-0.35,-0.44,-0.35,-0.44
1.346,-0.63,-0.47,-0.35,-0.44,-0.35,-0.44
1.374,-0.58,-0.54,-0.35,-0.44,-0.35,-0.44
1.402,-0.58,-0.56,-0.35,-0.44,-0.35,-0.44
1.431,-0.59,-0.45,-0.35,-0.44,-0.35,-0.44
1.46,-0.59,-0.45,-0.35,-0.44,-0.35,-0.44
1.487,-0.58,-0.48,-0.35,-0.44,-0.35,-0.44
1.517,-0.59,-0.48,-0.35,-0.44,-0.35,-0.44
1.545,-0.63,-0.46,-0.35,-0.44,-0.35,-0.44
1.575,-0.59,-0.49,-0.35,-0.44,-0.35,-0.44
1.604,-0.58,-0.48,-0.35,-0.44,-0.35,-0.44
1.633,-0.59,-0.56,-0.35,-0.44,-0.35,-0.44
1.661,-0.56,-0.55,-0.35,-0.44,-0.35,-0.44
1.69,-0.56,-0.5,-0.35,-0.44,-0.35,-0.44
1.718,-0.59,-0.5,-0.34,-0.44,-0.35,-0.44
1.747,-0.63,-0.51,-0.34,-0.44,-0.35,-0.44
1.776,-0.62,-0.58,-0.34,-0.44,-0.35,-0.44
1.804,-0.61,-0.52,-0.34,-0.44,-0.35,-0.44
1.832,-0.63,-0.53,-0.34,-0.44,-0.35,-0.44
1.86,-0.55,-0.55,-0.34,-0.44,-0.35,-0.44
