Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.001,8.64,-1.43,8.84,-1.36,8.83,-1.36
0.0,8.65,-1.41,8.83,-1.36,8.83,-1.36
0.032,8.66,-1.33,8.83,-1.36,8.83,-1.36
0.068,8.64,-1.34,8.84,-1.36,8.83,-1.36
0.103,8.62,-1.41,8.83,-1.36,8.83,-1.36
0.134,8.65,-1.41,8.83,-1.36,8.83,-1.36
0.167,8.65,-1.37,8.83,-1.36,8.83,-1.36
0.201,8.68,-1.39,8.83,-1.36,8.83,-1.36
0.234,8.66,-1.42,8.83,-1.36,8.83,-1.36
0.265,8.64,-1.38,8.83,-1.36,8.83,-1.36
0.297,8.65,-1.33,8.83,-1.36,8.83,-1.36
0.329,8.67,-1.37,8.83,-1.36,8.83,-1.36
0.361,8.66,-1.39,8.83,-1.36,8.83,-1.36
0.392,8.6,-1.39,8.84,-1.36,8.83,-1.36
0.424,8.58,-1.37,8.84,-1.36,8.83,-1.36
0.458,8.62,-1.33,8.84,-1.36,8.83,-1.36
0.49,8.63,-1.34,8.84,-1.36,8.83,-1.36
0.522,8.64,-1.38,8.84,-1.36,8.83,-1.36
0.555,8.63,-1.39,8.83,-1.36,8.83,-1.36
0.586,8.65,-1.39,8.83,-1.36,8.83,-1.36
0.618,8.66,-1.39,8.84,-1.36,8.83,-1.36
0.65,8.67,-1.37,8.84,-1.36,8.83,-1.36
0.681,8.65,-1.4,8.84,-1.36,8.83,-1.36
0.713,8.62,-1.35,8.84,-1.36,8.83,-1.36
0.745,8.65,-1.37,8.84,-1.36,8.83,-1.36
0.778,8.69,-1.37,8.84,-1.36,8.83,-1.36
0.81,8.67,-1.41,8.84,-1.36,8.84,-1.36
0.843,8.67,-1.43,8.84,-1.36,8.84,-1.36
0.875,8.64,-1.38,8.84,-1.36,8.84,-1.36
0.915,8.64,-1.42,8.84,-1.36,8.84,-1.36
0.951,8.62,-1.39,8.84,-1.36,8.84,-1.36
0.983,8.66,-1.35,8.84,-1.36,8.84,-1.36
1.015,8.73,-1.28,8.84,-1.36,8.84,-1.36
1.046,8.69,-1.31,8.84,-1.36,8.84,-1.36
1.077,8.53,-1.36,8.84,-1.36,8.84,-1.36
1.109,8.58,-1.41,8.84,-1.36,8.84,-1.36
1.141,8.63,-1.4,8.84,-1.36,8.84,-1.36
1.173,8.66,-1.34,8.84,-1.36,8.84,-1.36
1.204,8.67,-1.36,8.84,-1.36,8.84,-1.36
1.236,8.65,-1.36,8.84,-1.36,8.84,-1.36
1.268,8.64,-1.39,8.84,-1.36,8.84,-1.36
1.299,8.64,-1.37,8.84,-1.36,8.84,-1.36
1.331,8.62,-1.35,8.84,-1.36,8.84,-1.36
1.363,8.58,-1.32,8.84,-1.36,8.84,-1.36
1.393,8.61,-1.29,8.84,-1.36,8.84,-1.36
1.425,8.66,-1.3,8.84,-1.36,8.84,-1.36
1.456,8.67,-1.34,8.84,-1.36,8.84,-1.36
1.487,8.65,-1.35,8.84,-1.36,8.84,-1.36
1.518,8.64,-1.4,8.84,-1.36,8.84,-1.36
1.55,8.68,-1.35,8.84,-1.36,8.84,-1.36
1.582,8.64,-1.33,8.84,-1.36,8.84,-1.36
1.614,8.63,-1.35,8.84,-1.36,8.84,-1.36
1.646,8.58,-1.32,8.84,-1.36,8.84,-1.36
1.679,8.58,-1.33,8.84,-1.36,8.84,-1.36
1.71,8.64,-1.31,8.84,-1.36,8.84,-1.35
1.741,8.68,-1.32,8.84,-1.35,8.84,-1.35
1.773,8.63,-1.36,8.84,-1.35,8.84,-1.35
1.803,8.59,-1.37,8.84,-1.36,8.84,-1.36
1.835,8.56,-1.36,8.84,-1.36,8.83,-1.36
1.867,8.65,-1.34,8.84,-1.35,8.83,-1.35
1.899,8.67,-1.33,8.84,-1.35,8.83,-1.35
1.931,8.66,-1.39,8.84,-1.35,8.83,-1.35
1.962,8.61,-1.43,8.84,-1.35,8.83,-1.36
1.994,8.62,-1.43,8.84,-1.36,8.83,-1.36
2.026,8.67,-1.39,8.84,-1.36,8.83,-1.36
2.058,8.7,-1.37,8.84,-1.36,8.83,-1.36
2.091,8.65,-1.4,8.83,-1.36,8.83,-1.36
2.123,8.61,-1.41,8.83,-1.35,8.83,-1.36
2.154,8.63,-1.33,8.83,-1.36,8.83,-1.35
2.186,8.67,-1.34,8.83,-1.36,8.83,-1.36
2.218,8.66,-1.39,8.83,-1.36,8.83,-1.36
2.25,8.6,-1.42,8.83,-1.36,8.83,-1.36
2.281,8.63,-1.36,8.84,-1.36,8.83,-1.36
2.314,8.66,-1.32,8.83,-1.36,8.83,-1.36
2.345,8.67,-1.32,8.83,-1.35,8.83,-1.35
2.376,8.68,-1.35,8.83,-1.35,8.83,-1.35
2.408,8.69,-1.39,8.83,-1.35,8.83,-1.35
2.44,8.7,-1.43,8.83,-1.35,8.83,-1.35
2.471,8.68,-1.37,8.83,-1.35,8.83,-1.35
2.503,8.69,-1.39,8.83,-1.35,8.83,-1.35
2.535,8.67,-1.39,8.83,-1.35,8.83,-1.35
2.567,8.72,-1.36,8.83,-1.35,8.83,-1.35
2.599,8.69,-1.41,8.83,-1.35,8.83,-1.35
2.632,8.7,-1.37,8.83,-1.35,8.83,-1.35
2.665,8.68,-1.36,8.83,-1.35,8.83,-1.35
2.696,8.63,-1.33,8.84,-1.35,8.83,-1.35
2.729,8.66,-1.35,8.84,-1.35,8.83,-1.35
2.762,8.67,-1.36,8.84,-1.35,8.84,-1.35
2.794,8.66,-1.37,8.84,-1.35,8.84,-1.35
2.825,8.69,-1.37,8.84,-1.35,8.84,-1.35
2.858,8.69,-1.33,8.84,-1.35,8.84,-1.35
2.89,8.61,-1.38,8.84,-1.35,8.83,-1.35
2.921,8.62,-1.4,8.84,-1.35,8.83,-1.35
2.953,8.7,-1.39,8.84,-1.35,8.83,-1.35
2.984,8.71,-1.38,8.84,-1.35,8.84,-1.35
3.016,8.67,-1.34,8.84,-1.35,8.84,-1.35
3.048,8.63,-1.35,8.84,-1.35,8.84,-1.35
3.08,8.65,-1.36,8.84,-1.35,8.84,-1.35
3.112,8.59,-1.31,8.84,-1.35,8.84,-1.35
3.144,8.59,-1.29,8.84,-1.35,8.83,-1.35
3.176,8.66,-1.38,8.84,-1.35,8.83,-1.35
3.208,8.65,-1.38,8.84,-1.35,8.83,-1.35
