Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.001,-0.93,-1.29,-0.72,-1.27,-0.72,-1.27
0.0,-0.92,-1.32,-0.72,-1.27,-0.72,-1.27
0.031,-0.92,-1.35,-0.72,-1.27,-0.72,-1.27
0.065,-0.91,-1.28,-0.72,-1.27,-0.72,-1.27
0.1,-0.92,-1.26,-0.72,-1.27,-0.72,-1.27
0.133,-0.98,-1.31,-0.72,-1.27,-0.72,-1.27
0.165,-0.95,-1.26,-0.72,-1.27,-0.72,-1.27
0.198,-0.85,-1.22,-0.72,-1.27,-0.72,-1.27
0.23,-0.85,-1.25,-0.72,-1.27,-0.72,-1.27
0.262,-0.92,-1.27,-0.72,-1.27,-0.72,-1.27
0.295,-0.92,-1.26,-0.72,-1.27,-0.72,-1.27
0.326,-0.97,-1.27,-0.72,-1.27,-0.72,-1.27
0.358,-1.02,-1.27,-0.72,-1.27,-0.72,-1.27
0.389,-0.87,-1.28,-0.72,-1.27,-0.72,-1.27
0.422,-0.84,-1.32,-0.72,-1.27,-0.72,-1.27
0.453,-0.92,-1.3,-0.72,-1.27,-0.72,-1.27
0.484,-0.96,-1.31,-0.72,-1.27,-0.72,-1.27
0.521,-0.94,-1.3,-0.72,-1.27,-0.72,-1.27
0.553,-0.99,-1.27,-0.72,-1.27,-0.72,-1.27
0.585,-0.91,-1.24,-0.72,-1.27,-0.72,-1.27
0.616,-0.87,-1.27,-0.72,-1.27,-0.72,-1.27
0.647,-0.9,-1.29,-0.72,-1.27,-0.72,-1.27
0.679,-0.92,-1.23,-0.72,-1.27,-0.72,-1.27
0.712,-0.94,-1.24,-0.72,-1.27,-0.72,-1.27
0.744,-0.93,-1.28,-0.72,-1.27,-0.72,-1.27
0.777,-0.97,-1.31,-0.72,-1.27,-0.72,-1.27
0.809,-0.96,-1.28,-0.72,-1.27,-0.73,-1.27
0.841,-0.9,-1.27,-0.72,-1.27,-0.73,-1.27
