Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.0,-1.05,0.25,-0.92,0.35,-0.92,0.35
0.0,-1.1,0.28,-0.91,0.35,-0.92,0.35
0.03,-1.25,0.32,-0.91,0.35,-0.92,0.35
0.06,-1.23,0.33,-0.92,0.35,-0.92,0.35
0.091,-1.09,0.27,-0.92,0.35,-0.92,0.35
0.119,-1.1,0.25,-0.92,0.35,-0.92,0.35
0.149,-1.12,0.23,-0.92,0.35,-0.92,0.35
0.178,-1.1,0.28,-0.91,0.35,-0.92,0.35
0.207,-1.11,0.22,-0.91,0.35,-0.92,0.35
0.236,-1.11,0.32,-0.91,0.35,-0.91,0.35
0.264,-1.14,0.31,-0.91,0.35,-0.91,0.35
0.291,-1.09,0.24,-0.91,0.35,-0.92,0.35
0.318,-1.04,0.24,-0.91,0.35,-0.91,0.35
0.347,-1.12,0.21,-0.91,0.35,-0.91,0.35
0.376,-1.14,0.23,-0.91,0.35,-0.91,0.35
0.405,-1.18,0.29,-0.91,0.35,-0.91,0.35
0.432,-1.13,0.32,-0.91,0.35,-0.91,0.35
0.461,-1.09,0.32,-0.91,0.35,-0.91,0.35
0.49,-1.08,0.25,-0.91,0.35,-0.91,0.35
0.518,-1.07,0.21,-0.91,0.35,-0.91,0.35
0.548,-1.12,0.29,-0.91,0.35,-0.91,0.35
0.575,-1.13,0.31,-0.91,0.35,-0.91,0.35
0.603,-1.13,0.23,-0.91,0.35,-0.91,0.35
0.63,-1.09,0.27,-0.91,0.35,-0.91,0.35
0.656,-1.07,0.3,-0.91,0.35,-0.91,0.35
0.683,-1.12,0.29,-0.91,0.35,-0.91,0.35
0.71,-1.16,0.28,-0.91,0.35,-0.91,0.35
0.737,-1.16,0.28,-0.91,0.35,-0.91,0.35
0.765,-1.11,0.3,-0.91,0.35,-0.91,0.35
0.793,-1.11,0.27,-0.91,0.35,-0.91,0.35
0.821,-1.09,0.28,-0.91,0.35,-0.91,0.35
0.848,-1.08,0.25,-0.9,0.35,-0.91,0.35
0.876,-1.1,0.23,-0.9,0.35,-0.91,0.35
0.905,-1.17,0.27,-0.9,0.35,-0.91,0.35
0.933,-1.15,0.27,-0.9,0.35,-0.91,0.35
0.961,-1.07,0.24,-0.9,0.35,-0.91,0.35
0.988,-1.11,0.31,-0.9,0.35,-0.91,0.35
1.017,-1.11,0.34,-0.9,0.35,-0.91,0.35
1.046,-1.12,0.29,-0.9,0.35,-0.91,0.35
1.075,-1.13,0.27,-0.9,0.36,-0.91,0.35
1.103,-1.12,0.3,-0.9,0.36,-0.91,0.36
1.13,-1.11,0.29,-0.9,0.36,-0.91,0.35
1.157,-1.15,0.25,-0.9,0.36,-0.9,0.35
1.184,-1.17,0.29,-0.9,0.36,-0.9,0.35
1.212,-1.14,0.28,-0.9,0.36,-0.9,0.35
1.241,-1.14,0.29,-0.9,0.36,-0.9,0.36
1.269,-1.16,0.28,-0.9,0.36,-0.91,0.36
1.295,-1.15,0.3,-0.9,0.36,-0.91,0.35
1.323,-1.16,0.3,-0.9,0.36,-0.91,0.35
1.351,-1.16,0.29,-0.9,0.36,-0.91,0.36
1.379,-1.13,0.27,-0.9,0.36,-0.91,0.36
1.417,-1.18,0.31,-0.9,0.36,-0.91,0.36
1.444,-1.16,0.33,-0.9,0.36,-0.91,0.36
1.472,-1.1,0.32,-0.9,0.36,-0.91,0.36
1.507,-1.09,0.29,-0.9,0.36,-0.9,0.36
1.539,-1.15,0.25,-0.9,0.36,-0.91,0.36
1.566,-1.18,0.28,-0.9,0.36,-0.91,0.36
1.593,-1.11,0.31,-0.9,0.36,-0.91,0.36
1.62,-1.1,0.31,-0.91,0.36,-0.91,0.36
1.648,-1.16,0.24,-0.91,0.36,-0.91,0.36
1.675,-1.19,0.23,-0.91,0.36,-0.91,0.36
1.703,-1.19,0.24,-0.91,0.36,-0.91,0.36
1.73,-1.11,0.27,-0.91,0.36,-0.91,0.36
1.758,-1.1,0.27,-0.9,0.36,-0.91,0.36
1.788,-1.1,0.36,-0.9,0.36,-0.9,0.36
1.817,-1.16,0.37,-0.9,0.36,-0.91,0.36
1.844,-1.21,0.3,-0.9,0.36,-0.91,0.36
1.871,-1.17,0.29,-0.91,0.36,-0.91,0.36
1.9,-1.14,0.31,-0.91,0.36,-0.91,0.36
1.927,-1.13,0.28,-0.91,0.36,-0.91,0.36
1.954,-1.22,0.23,-0.9,0.36,-0.91,0.36
1.981,-1.2,0.25,-0.91,0.36,-0.91,0.36
2.01,-1.17,0.3,-0.91,0.36,-0.91,0.36
2.037,-1.1,0.28,-0.91,0.36,-0.91,0.36
2.064,-1.1,0.23,-0.91,0.36,-0.91,0.36
2.093,-1.1,0.26,-0.9,0.36,-0.91,0.36
2.12,-1.14,0.28,-0.9,0.36,-0.91,0.36
2.146,-1.16,0.3,-0.9,0.36,-0.91,0.36
2.176,-1.13,0.29,-0.9,0.36,-0.91,0.36
2.203,-1.11,0.27,-0.9,0.36,-0.91,0.36
2.231,-1.07,0.25,-0.9,0.36,-0.91,0.36
2.26,-1.1,0.26,-0.9,0.36,-0.91,0.36
2.288,-1.11,0.22,-0.9,0.36,-0.91,0.36
2.32,-1.13,0.21,-0.9,0.36,-0.91,0.36
2.351,-1.25,0.32,-0.9,0.36,-0.91,0.36
2.384,-1.2,0.33,-0.91,0.36,-0.91,0.36
2.414,-1.06,0.3,-0.91,0.36,-0.91,0.36
2.443,-1.09,0.25,-0.91,0.36,-0.91,0.36
2.469,-1.14,0.24,-0.91,0.36,-0.91,0.36
2.496,-1.12,0.28,-0.91,0.36,-0.91,0.36
2.525,-1.13,0.32,-0.91,0.36,-0.91,0.36
2.553,-1.14,0.32,-0.91,0.36,-0.91,0.36
2.581,-1.15,0.32,-0.91,0.36,-0.91,0.36
2.608,-1.04,0.31,-0.91,0.36,-0.91,0.36
2.636,-1.02,0.28,-0.91,0.36,-0.91,0.36
2.663,-1.14,0.28,-0.9,0.36,-0.91,0.36
2.69,-1.15,0.3,-0.9,0.36,-0.91,0.36
2.718,-1.13,0.3,-0.9,0.36,-0.91,0.36
2.747,-1.11,0.28,-0.9,0.36,-0.91,0.36
2.774,-1.1,0.28,-0.9,0.36,-0.91,0.36
2.804,-1.09,0.32,-0.91,0.37,-0.91,0.36
2.832,-1.08,0.28,-0.9,0.37,-0.91,0.37
2.86,-1.08,0.2,-0.9,0.37,-0.91,0.37
2.887,-1.13,0.26,-0.9,0.37,-0.91,0.37
2.916,-1.13,0.36,-0.9,0.37,-0.91,0.37
2.946,-1.11,0.32,-0.9,0.37,-0.91,0.36
2.973,-1.11,0.28,-0.9,0.37,-0.91,0.36
3.002,-1.15,0.21,-0.9,0.37,-0.91,0.36
3.032,-1.18,0.23,-0.9,0.37,-0.91,0.36
3.064,-1.14,0.3,-0.9,0.36,-0.91,0.36
3.096,-1.15,0.29,-0.9,0.37,-0.91,0.36
3.124,-1.18,0.23,-0.9,0.37,-0.91,0.37
3.153,-1.15,0.23,-0.9,0.37,-0.91,0.36
3.18,-1.1,0.24,-0.9,0.37,-0.91,0.36
3.208,-1.18,0.27,-0.9,0.36,-0.91,0.36
3.237,-1.19,0.28,-0.9,0.36,-0.91,0.36
3.265,-1.16,0.29,-0.91,0.36,-0.91,0.36
3.293,-1.14,0.26,-0.91,0.36,-0.91,0.36
3.32,-1.06,0.29,-0.91,0.36,-0.91,0.36
3.347,-1.11,0.29,-0.9,0.36,-0.91,0.36
3.375,-1.17,0.3,-0.9,0.36,-0.91,0.36
3.402,-1.17,0.25,-0.9,0.36,-0.91,0.36
3.43,-1.16,0.23,-0.91,0.36,-0.91,0.36
3.457,-1.22,0.28,-0.91,0.36,-0.91,0.36
