Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.0,-0.63,-0.51,-0.15,-0.45,-0.16,-0.45
0.0,-0.64,-0.45,-0.15,-0.45,-0.16,-0.45
0.032,-0.54,-0.46,-0.16,-0.45,-0.16,-0.45
0.064,-0.56,-0.5,-0.16,-0.45,-0.16,-0.45
0.099,-0.66,-0.51,-0.16,-0.45,-0.16,-0.45
0.132,-0.6,-0.52,-0.16,-0.45,-0.16,-0.45
0.163,-0.48,-0.52,-0.16,-0.45,-0.17,-0.45
0.196,-0.52,-0.5,-0.16,-0.45,-0.17,-0.45
0.228,-0.58,-0.54,-0.16,-0.45,-0.17,-0.45
0.261,-0.59,-0.59,-0.17,-0.45,-0.17,-0.45
0.292,-0.61,-0.54,-0.17,-0.45,-0.17,-0.45
0.323,-0.59,-0.54,-0.17,-0.45,-0.17,-0.45
0.354,-0.54,-0.52,-0.17,-0.45,-0.17,-0.45
0.386,-0.57,-0.48,-0.17,-0.45,-0.18,-0.45
0.416,-0.59,-0.46,-0.17,-0.45,-0.18,-0.45
0.449,-0.58,-0.5,-0.17,-0.45,-0.18,-0.45
0.481,-0.56,-0.46,-0.18,-0.45,-0.18,-0.45
0.513,-0.6,-0.5,-0.18,-0.45,-0.18,-0.45
0.544,-0.55,-0.57,-0.18,-0.45,-0.18,-0.45
0.575,-0.57,-0.51,-0.18,-0.45,-0.18,-0.45
0.606,-0.59,-0.48,-0.18,-0.45,-0.19,-0.45
0.637,-0.58,-0.49,-0.18,-0.45,-0.19,-0.45
0.673,-0.62,-0.47,-0.19,-0.45,-0.19,-0.45
0.704,-0.62,-0.5,-0.19,-0.44,-0.19,-0.45
0.736,-0.57,-0.52,-0.19,-0.45,-0.19,-0.45
0.77,-0.54,-0.53,-0.19,-0.45,-0.19,-0.45
0.803,-0.56,-0.54,-0.19,-0.45,-0.19,-0.45
0.833,-0.63,-0.49,-0.19,-0.45,-0.19,-0.45
0.866,-0.63,-0.48,-0.19,-0.45,-0.2,-0.45
0.898,-0.58,-0.52,-0.19,-0.45,-0.2,-0.45
0.929,-0.55,-0.47,-0.19,-0.44,-0.2,-0.45
0.96,-0.58,-0.48,-0.2,-0.44,-0.2,-0.44
0.993,-0.58,-0.52,-0.2,-0.44,-0.2,-0.44
1.024,-0.57,-0.52,-0.2,-0.44,-0.2,-0.44
1.056,-0.6,-0.52,-0.2,-0.44,-0.21,-0.44
1.089,-0.57,-0.5,-0.2,-0.44,-0.21,-0.44
1.121,-0.6,-0.51,-0.2,-0.44,-0.21,-0.44
1.151,-0.61,-0.45,-0.2,-0.44,-0.21,-0.44
1.181,-0.59,-0.45,-0.21,-0.44,-0.21,-0.44
1.213,-0.57,-0.5,-0.21,-0.44,-0.21,-0.44
1.244,-0.57,-0.54,-0.21,-0.44,-0.21,-0.44
1.275,-0.58,-0.54,-0.21,-0.44,-0.21,-0.44
1.306,-0.56,-0.48,-0.21,-0.44,-0.21,-0.44
1.338,-0.54,-0.46,-0.21,-0.44,-0.22,-0.44
1.368,-0.6,-0.48,-0.21,-0.44,-0.22,-0.44
1.398,-0.64,-0.47,-0.21,-0.44,-0.22,-0.44
1.431,-0.6,-0.53,-0.22,-0.44,-0.22,-0.44
1.465,-0.59,-0.54,-0.22,-0.44,-0.22,-0.44
