Time (s),Accel Roll (deg),Gyro Roll (deg)
2.233,27.8,28.04
2.247,27.74,28.04
2.262,27.78,28.04
2.276,27.89,28.04
2.291,27.87,28.04
2.305,27.84,28.04
2.319,27.79,28.04
2.333,27.77,28.04
2.347,27.79,28.04
2.361,27.85,28.04
2.376,27.96,28.04
2.39,27.97,28.04
2.404,27.87,28.04
2.42,27.8,28.04
2.434,27.82,28.04
2.449,27.81,28.04
2.463,27.87,28.04
2.477,27.89,28.04
2.491,27.89,28.04
2.505,27.8,28.04
2.52,27.81,28.04
2.534,27.93,28.04
2.548,27.96,28.04
2.562,27.93,28.04
2.576,27.89,28.04
2.59,27.82,28.04
2.604,27.81,28.04
2.619,27.91,28.04
2.633,27.97,28.04
2.647,27.93,28.04
2.661,27.78,28.04
2.675,27.8,28.04
2.689,27.79,28.04
2.704,27.84,28.04
2.718,27.94,28.04
2.732,27.93,28.04
2.746,27.83,28.04
2.76,27.84,28.05
2.775,27.87,28.04
2.789,27.83,28.04
2.803,27.81,28.05
2.817,27.86,28.04
2.832,27.82,28.04
2.846,27.78,28.04
2.86,27.8,28.04
2.874,27.84,28.04
2.888,27.85,28.04
2.902,27.87,28.04
2.916,27.9,28.04
2.931,27.84,28.04
2.945,27.8,28.04
2.959,27.79,28.04
2.973,27.79,28.04
2.987,27.89,28.04
3.002,27.94,28.04
3.016,27.84,28.04
3.03,27.8,28.04
3.045,27.77,28.04
3.059,27.9,28.04
3.073,27.92,28.04
3.087,27.87,28.04
3.102,27.81,28.04
3.116,27.86,28.04
3.13,27.84,28.04
3.145,27.82,28.04
3.159,27.86,28.04
3.173,27.86,28.04
3.187,27.86,28.05
3.201,27.8,28.05
3.215,27.86,28.04
3.23,27.9,28.04
3.244,27.91,28.04
3.258,27.88,28.04
3.272,27.88,28.04
3.286,27.84,28.04
3.301,27.82,28.04
3.315,27.85,28.04
3.329,27.84,28.04
3.343,27.84,28.04
3.358,27.84,28.04
3.372,27.81,28.04
3.386,27.8,28.04
3.401,27.81,28.04
3.415,27.88,28.04
3.429,27.88,28.04
3.443,27.83,28.04
3.458,27.87,28.04
3.472,27.86,28.04
3.486,27.82,28.04
3.502,27.79,28.04
3.516,27.81,28.04
3.53,27.89,28.04
3.544,27.85,28.04
3.559,27.79,28.04
3.573,27.84,28.04
3.587,27.83,28.04
3.602,27.81,28.04
3.616,27.82,28.04
3.63,27.84,28.04
3.644,27.88,28.04
3.659,27.9,28.04
3.673,27.86,28.04
3.687,27.84,28.04
3.701,27.84,28.04
3.715,27.84,28.04
3.729,27.8,28.04
3.744,27.77,28.04
3.758,27.86,28.04
3.772,27.86,28.04
3.786,27.87,28.04
3.8,27.83,28.04
3.815,27.83,28.04
3.83,27.82,28.04
3.844,27.83,28.04
3.858,27.87,28.04
3.872,27.89,28.04
3.887,27.8,28.05
3.901,27.82,28.04
3.915,27.84,28.04
3.929,27.84,28.04
3.943,27.86,28.05
3.957,27.89,28.05
3.972,27.87,28.05
3.986,27.89,28.04
4.0,27.87,28.04
4.015,27.89,28.05
4.029,27.9,28.05
4.043,27.86,28.05
4.057,27.82,28.05
4.072,27.82,28.05
4.086,27.84,28.05
4.1,27.86,28.05
4.115,27.82,28.05
4.129,27.84,28.05
4.143,27.9,28.05
4.161,27.86,28.05
4.175,27.84,28.05
4.189,27.86,28.05
4.204,27.85,28.05
4.218,27.88,28.05
4.232,27.86,28.05
4.246,27.86,28.05
4.26,27.85,28.05
4.275,27.87,28.05
4.289,27.9,28.05
4.303,27.88,28.05
4.317,27.87,28.05
4.332,27.85,28.05
4.346,27.84,28.05
4.36,27.84,28.05
4.375,27.81,28.05
4.389,27.81,28.05
4.403,27.82,28.05
4.417,27.86,28.05
4.432,27.88,28.05
4.446,27.87,28.05
4.46,27.81,28.05
4.474,27.8,28.05
4.488,27.86,28.05
4.503,27.92,28.05
4.517,27.91,28.05
4.531,27.86,28.05
4.546,27.88,28.05
4.56,27.86,28.05
4.574,27.82,28.05
4.588,27.87,28.05
4.603,27.87,28.05
4.617,27.82,28.05
4.631,27.83,28.05
4.645,27.88,28.05
4.66,27.9,28.05
4.674,27.92,28.05
4.688,27.83,28.05
4.703,27.82,28.05
4.717,27.81,28.05
4.731,27.82,28.05
4.745,27.84,28.05
4.76,27.91,28.05
4.774,27.92,28.05
4.788,27.81,28.05
4.802,27.8,28.05
4.817,27.81,28.06
4.831,27.82,28.06
4.845,27.89,28.05
4.859,27.9,28.05
4.873,27.9,28.05
4.888,27.87,28.05
4.902,27.85,28.05
4.916,27.88,28.05
4.93,27.88,28.05
4.945,27.86,28.05
4.959,27.86,28.05
4.973,27.83,28.05
4.987,27.79,28.05
5.001,27.8,28.05
5.016,27.87,28.05
5.033,27.93,28.05
5.047,27.88,28.05
5.061,27.86,28.05
5.076,27.89,28.05
5.09,27.89,28.05
5.104,27.91,28.05
5.119,27.93,28.05
5.133,27.9,28.05
5.147,27.87,28.05
5.161,27.8,28.05
5.176,27.85,28.06
5.19,27.9,28.06
5.204,27.91,28.06
5.218,27.86,28.06
5.233,27.83,28.06
5.247,27.82,28.05
5.261,27.88,28.05
5.275,27.88,28.05
5.29,27.84,28.05
5.304,27.84,28.05
5.318,27.87,28.05
5.333,27.82,28.05
5.347,27.8,28.05
5.361,27.83,28.05
5.375,27.89,28.05
5.389,27.88,28.05
5.403,27.82,28.05
5.417,27.82,28.05
5.432,27.87,28.05
5.446,27.89,28.05
5.46,27.9,28.05
5.474,27.87,28.05
5.489,27.8,28.05
5.503,27.78,28.05
5.517,27.76,28.05
5.531,27.86,28.05
5.545,27.88,28.05
5.56,27.88,28.05
5.574,27.84,28.05
5.589,27.78,28.05
5.603,27.79,28.05
5.617,27.86,28.05
5.632,27.89,28.05
5.646,27.88,28.05
5.66,27.8,28.05
5.675,27.8,28.05
5.689,27.86,28.05
5.703,27.84,28.05
5.717,27.96,28.05
5.732,27.9,28.05
5.746,27.89,28.05
5.76,27.88,28.05
5.774,27.82,28.05
5.788,27.79,28.05
5.802,27.79,28.05
5.817,27.87,28.05
5.831,27.84,28.05
5.845,27.88,28.05
5.859,27.76,28.05
5.874,27.82,28.05
5.888,27.91,28.05
5.902,27.93,28.05
5.921,27.89,28.05
5.935,27.78,28.05
5.949,27.79,28.05
5.963,27.82,28.05
5.977,27.85,28.05
5.991,27.88,28.05
6.005,27.77,28.05
6.019,27.75,28.05
6.034,27.89,28.05
6.048,27.91,28.05
6.062,27.81,28.05
6.076,27.79,28.05
6.091,27.82,28.05
6.105,27.86,28.05
6.119,27.86,28.05
6.134,27.92,28.05
6.148,27.95,28.05
6.162,27.86,28.05
6.177,27.87,28.05
6.191,27.81,28.05
6.205,27.8,28.05
6.22,27.83,28.05
6.234,27.86,28.05
6.248,27.87,28.05
6.263,27.83,28.05
6.277,27.85,28.05
6.291,27.83,28.05
6.305,27.82,28.05
6.319,27.9,28.05
6.334,27.94,28.05
6.348,27.93,28.05
6.362,27.91,28.05
6.376,27.88,28.05
6.391,27.83,28.05
6.405,27.84,28.05
6.419,27.87,28.05
6.433,27.81,28.05
6.447,27.77,28.05
6.461,27.8,28.05
6.476,27.84,28.05
6.49,27.88,28.05
6.504,27.89,28.05
6.518,27.84,28.05
6.533,27.8,28.05
6.547,27.76,28.05
6.561,27.77,28.05
6.575,27.84,28.04
6.59,27.92,28.04
6.604,27.9,28.05
6.618,27.84,28.05
6.632,27.77,28.05
6.646,27.8,28.05
6.661,27.86,28.05
6.677,27.87,28.05
6.691,27.87,28.05
6.706,27.81,28.05
6.72,27.85,28.05
6.734,27.84,28.05
6.749,27.84,28.05
6.763,27.88,28.05
6.778,27.86,28.05
6.792,27.81,28.05
6.806,27.78,28.05
6.82,27.82,28.05
6.835,27.84,28.05
6.849,27.86,28.05
6.863,27.89,28.05
6.877,27.88,28.05
6.891,27.87,28.05
6.905,27.85,28.05
6.92,27.85,28.05
6.936,27.86,28.05
6.951,27.86,28.05
6.965,27.84,28.05
6.979,27.84,28.05
6.993,27.85,28.05
7.007,27.87,28.05
7.022,27.83,28.05
7.036,27.8,28.05
7.05,27.83,28.05
7.064,27.93,28.05
7.078,27.91,28.05
7.092,27.9,28.05
7.107,27.94,28.05
7.121,27.85,28.05
7.135,27.82,28.05
7.149,27.84,28.05
7.163,27.85,28.05
7.177,27.8,28.05
7.192,27.87,28.05
7.206,27.88,28.05
7.22,27.82,28.05
7.234,27.85,28.05
7.248,27.86,28.05
7.262,27.84,28.05
7.276,27.88,28.05
7.29,27.84,28.05
7.304,27.84,28.05
7.318,27.89,28.05
7.333,27.84,28.05
7.347,27.8,28.05
7.361,27.83,28.05
7.376,27.88,28.05
7.39,27.84,28.05
7.404,27.81,28.05
7.418,27.85,28.05
7.433,27.86,28.05
7.447,27.8,28.05
7.461,27.81,28.05
7.475,27.84,28.05
7.489,27.9,28.05
7.504,27.93,28.05
7.518,27.82,28.05
7.533,27.79,28.05
7.547,27.85,28.05
7.561,27.88,28.06
7.575,27.82,28.06
7.589,27.84,28.05
7.603,27.88,28.05
7.618,27.84,28.05
7.632,27.82,28.05
7.647,27.88,28.05
7.661,27.85,28.05
7.675,27.88,28.05
7.689,27.84,28.05
7.703,27.77,28.05
7.718,27.75,28.05
7.732,27.78,28.05
7.746,27.82,28.05
7.76,27.82,28.05
7.774,27.82,28.05
7.788,27.82,28.05
7.803,27.86,28.05
7.817,27.86,28.05
7.831,27.82,28.05
7.845,27.88,28.05
7.859,27.91,28.05
7.874,27.82,28.05
7.888,27.8,28.05
7.903,27.85,28.05
7.917,27.88,28.05
7.931,27.85,28.05
7.945,27.8,28.05
7.96,27.8,28.05
7.974,27.95,28.05
7.988,27.95,28.05
8.002,27.88,28.05
8.017,27.84,28.05
8.031,27.85,28.05
8.045,27.88,28.05
8.059,27.92,28.05
8.073,27.9,28.05
8.087,27.89,28.05
8.101,27.87,28.05
8.116,27.85,28.05
8.13,27.84,28.05
8.144,27.82,28.05
8.158,27.85,28.05
8.173,27.87,28.05
8.187,27.85,28.06
8.203,27.78,28.06
8.218,27.86,28.05
8.232,27.9,28.05
8.246,27.86,28.05
8.26,27.8,28.05
8.275,27.82,28.05
8.289,27.84,28.05
8.303,27.82,28.05
8.318,27.86,28.05
8.332,27.87,28.05
8.347,27.87,28.05
8.361,27.85,28.05
8.375,27.8,28.05
8.389,27.89,28.05
8.403,27.95,28.05
8.418,27.8,28.05
8.433,27.76,28.05
8.447,27.83,28.05
8.461,27.83,28.05
8.475,27.79,28.05
8.49,27.76,28.05
8.504,27.86,28.05
8.518,27.89,28.05
8.533,27.88,28.05
8.547,27.92,28.05
8.561,27.85,28.05
8.576,27.86,28.05
8.59,27.89,28.06
8.604,27.92,28.06
8.619,27.89,28.06
8.633,27.81,28.06
8.647,27.78,28.05
8.661,27.77,28.05
8.675,27.86,28.05
8.69,27.86,28.05
8.704,27.81,28.05
8.719,27.82,28.05
8.733,27.87,28.05
8.747,27.88,28.05
8.761,27.9,28.05
8.775,27.94,28.05
8.79,27.96,28.05
8.804,27.85,28.05
8.818,27.77,28.05
8.832,27.84,28.05
8.846,27.87,28.05
8.861,27.8,28.05
8.875,27.81,28.05
8.889,27.84,28.04
8.904,27.87,28.04
8.918,27.85,28.04
8.932,27.87,28.04
8.946,27.89,28.04
8.96,27.88,28.04
8.976,27.84,28.04
8.99,27.88,28.04
9.005,27.84,28.04
9.019,27.78,28.04
9.034,27.8,28.04
9.048,27.85,28.04
9.062,27.82,28.04
9.076,27.82,28.04
9.09,27.89,28.04
9.104,27.9,28.04
9.118,27.82,28.04
9.133,27.87,28.04
9.147,27.84,28.04
9.162,27.83,28.04
9.176,27.83,28.04
9.19,27.81,28.04
9.204,27.81,28.04
9.218,27.76,28.04
9.233,27.8,28.04
9.247,27.84,28.04
9.261,27.86,28.04
9.275,27.88,28.04
9.289,27.84,28.04
9.303,27.79,28.04
9.318,27.8,28.04
9.332,27.82,28.04
9.346,27.86,28.04
9.36,27.9,28.04
9.375,27.89,28.04
9.389,27.86,28.04
9.404,27.81,28.04
9.419,27.83,28.04
9.433,27.9,28.04
9.447,27.89,28.04
9.461,27.81,28.04
9.475,27.86,28.04
9.49,27.84,28.04
9.504,27.81,28.04
9.518,27.83,28.04
9.532,27.82,28.04
9.546,27.88,28.04
9.561,27.85,28.04
9.575,27.85,28.04
9.589,27.82,28.04
9.603,27.84,28.04
9.617,27.86,28.04
9.631,27.84,28.04
9.645,27.81,28.04
9.659,27.86,28.04
9.674,27.92,28.04
9.688,27.87,28.04
9.702,27.81,28.04
9.716,27.77,28.04
9.731,27.74,28.04
9.745,27.77,28.04
9.759,27.86,28.04
9.773,27.88,28.04
9.788,27.86,28.04
9.802,27.86,28.04
9.816,27.85,28.04
9.83,27.86,28.04
9.844,27.87,28.04
9.858,27.9,28.04
9.873,27.87,28.04
9.887,27.84,28.04
9.901,27.81,28.04
9.916,27.82,28.04
9.93,27.84,28.04
9.944,27.87,28.04
9.958,27.82,28.04
9.972,27.78,28.04
9.987,27.75,28.04
10.001,27.81,28.04
10.015,27.82,28.04
10.029,27.86,28.04
10.044,27.88,28.04
10.058,27.84,28.04
10.072,27.85,28.04
10.086,27.9,28.04
10.1,27.91,28.04
10.114,27.91,28.04
10.129,27.82,28.04
10.144,27.83,28.04
10.158,27.87,28.04
10.172,27.89,28.04
10.186,27.88,28.04
10.2,27.91,28.04
10.214,27.91,28.04
10.229,27.85,28.04
10.243,27.84,28.04
10.258,27.84,28.04
10.272,27.87,28.04
10.286,27.92,28.04
10.301,27.86,28.04
10.315,27.82,28.04
10.329,27.84,28.04
10.343,27.82,28.04
10.358,27.8,28.04
10.372,27.86,28.04
10.386,27.89,28.04
10.4,27.86,28.04
10.414,27.88,28.04
10.428,27.87,28.04
10.443,27.86,28.04
10.457,27.88,28.04
10.471,27.84,28.04
10.485,27.83,28.04
10.5,27.86,28.04
10.514,27.83,28.04
10.528,27.82,28.04
10.542,27.9,28.04
10.556,27.92,28.04
10.571,27.86,28.04
10.585,27.79,28.04
10.606,27.82,28.04
10.62,27.83,28.04
10.634,27.85,28.04
10.649,27.83,28.04
10.663,27.8,28.04
10.677,27.84,28.04
10.691,27.82,28.04
10.706,27.81,28.04
10.72,27.84,28.04
10.734,27.88,28.04
10.748,27.87,28.04
10.762,27.82,28.04
10.776,27.84,28.04
10.791,27.83,28.04
10.805,27.81,28.04
10.819,27.87,28.04
10.833,27.87,28.04
10.847,27.79,28.04
10.861,27.84,28.04
10.875,27.85,28.04
10.89,27.85,28.04
10.904,27.84,28.04
10.918,27.92,28.04
10.935,27.91,28.04
10.949,27.87,28.04
10.964,27.83,28.04
10.978,27.81,28.04
10.992,27.87,28.04
11.006,27.9,28.04
11.021,27.89,28.04
11.035,27.84,28.04
11.05,27.84,28.04
11.064,27.84,28.04
11.078,27.86,28.04
11.093,27.89,28.04
11.107,27.87,28.04
11.121,27.88,28.04
11.135,27.89,28.04
11.15,27.92,28.04
11.164,27.9,28.04
11.178,27.84,28.05
11.192,27.84,28.05
11.206,27.87,28.05
11.22,27.84,28.05
11.235,27.81,28.04
11.249,27.84,28.04
11.263,27.88,28.04
11.277,27.87,28.05
11.292,27.82,28.05
11.306,27.84,28.05
11.32,27.85,28.04
11.335,27.87,28.04
11.349,27.87,28.04
11.365,27.91,28.05
11.38,27.91,28.05
11.394,27.83,28.05
11.408,27.81,28.05
11.423,27.86,28.05
11.436,27.9,28.05
11.451,27.88,28.05
11.465,27.79,28.05
11.479,27.87,28.05
11.493,27.86,28.05
11.507,27.81,28.05
11.522,27.84,28.05
11.536,27.86,28.05
11.55,27.89,28.05
11.565,27.84,28.05
11.579,27.83,28.05
11.593,27.82,28.05
11.607,27.8,28.05
11.621,27.84,28.05
11.636,27.84,28.05
11.65,27.9,28.05
11.664,27.85,28.05
11.679,27.86,28.05
11.693,27.85,28.05
11.707,27.84,28.05
11.721,27.87,28.05
11.736,27.91,28.05
11.75,27.88,28.05
11.764,27.83,28.05
11.778,27.74,28.05
11.792,27.8,28.04
11.807,27.85,28.04
11.821,27.89,28.04
11.835,27.89,28.04
11.85,27.82,28.05
11.864,27.79,28.05
11.878,27.83,28.05
11.892,27.84,28.04
11.907,27.86,28.04
11.921,27.85,28.04
11.935,27.84,28.04
11.949,27.73,28.04
11.963,27.72,28.04
11.978,27.9,28.04
11.992,27.94,28.04
12.006,27.85,28.05
12.021,27.87,28.05
12.035,27.84,28.05
12.049,27.79,28.05
12.063,27.81,28.05
12.078,27.81,28.05
12.092,27.85,28.04
12.106,27.88,28.04
12.12,27.87,28.04
12.135,27.87,28.04
12.149,27.87,28.04
12.163,27.82,28.04
12.177,27.86,28.04
12.192,27.89,28.04
12.206,27.91,28.04
12.22,27.87,28.04
12.241,27.83,28.05
12.254,27.84,28.05
12.269,27.84,28.05
12.283,27.81,28.05
12.297,27.8,28.04
12.311,27.86,28.04
12.326,27.89,28.04
12.34,27.89,28.04
12.354,27.88,28.04
12.368,27.84,28.04
12.383,27.83,28.04
12.397,27.83,28.05
12.411,27.78,28.05
12.425,27.79,28.04
12.439,27.86,28.04
12.453,27.83,28.04
12.468,27.79,28.04
12.482,27.76,28.04
12.496,27.82,28.04
12.51,27.89,28.04
12.524,27.88,28.04
12.538,27.88,28.04
12.553,27.73,28.04
12.567,27.72,28.04
12.581,27.86,28.04
12.595,27.87,28.04
12.609,27.87,28.04
12.623,27.85,28.04
12.638,27.84,28.04
12.652,27.85,28.04
12.667,27.82,28.04
12.682,27.86,28.04
12.696,27.91,28.04
12.71,27.89,28.04
12.724,27.89,28.04
12.738,27.8,28.05
12.753,27.76,28.05
12.767,27.87,28.04
12.781,27.89,28.04
12.795,27.91,28.04
12.81,27.89,28.04
12.824,27.86,28.05
12.838,27.81,28.05
12.852,27.84,28.04
12.866,27.91,28.04
12.881,27.93,28.04
12.895,27.8,28.05
12.909,27.8,28.04
12.924,27.82,28.04
12.938,27.9,28.04
12.952,27.86,28.04
12.966,27.84,28.04
12.981,27.88,28.04
12.995,27.85,28.04
13.009,27.8,28.04
13.023,27.84,28.04
13.037,27.88,28.04
13.052,27.88,28.04
13.066,27.87,28.04
13.08,27.87,28.04
13.094,27.89,28.04
13.109,27.88,28.04
13.123,27.83,28.04
13.137,27.84,28.04
13.151,27.84,28.04
13.166,27.81,28.04
13.179,27.81,28.04
13.193,27.88,28.04
13.208,27.84,28.04
13.223,27.81,28.04
13.237,27.83,28.04
13.251,27.87,28.04
13.266,27.88,28.04
13.28,27.89,28.04
13.294,27.85,28.04
13.308,27.87,28.04
13.323,27.87,28.04
13.337,27.85,28.05
13.351,27.84,28.05
13.366,27.87,28.05
13.38,27.83,28.05
13.394,27.83,28.05
13.408,27.83,28.05
13.423,27.8,28.05
13.437,27.85,28.04
13.451,27.86,28.04
13.465,27.84,28.04
13.48,27.85,28.04
13.494,27.86,28.05
13.508,27.83,28.05
13.522,27.83,28.05
13.536,27.82,28.05
13.55,27.79,28.04
13.565,27.81,28.04
13.579,27.9,28.04
13.593,27.85,28.04
13.607,27.84,28.04
13.622,27.85,28.04
13.636,27.82,28.04
13.651,27.84,28.04
13.665,27.88,28.04
13.679,27.84,28.04
13.693,27.81,28.04
13.707,27.77,28.04
13.722,27.83,28.04
13.736,27.82,28.04
13.75,27.84,28.04
13.764,27.89,28.04
13.779,27.88,28.04
13.793,27.83,28.04
13.807,27.86,28.04
13.821,27.88,28.04
13.835,27.8,28.04
13.85,27.78,28.04
13.864,27.83,28.04
13.878,27.81,28.04
13.893,27.82,28.04
13.907,27.86,28.04
13.921,27.83,28.04
13.935,27.86,28.04
13.949,27.9,28.04
13.964,27.83,28.04
13.978,27.81,28.04
13.992,27.84,28.04
14.006,27.88,28.04
14.02,27.84,28.04
14.034,27.85,28.04
14.048,27.87,28.04
14.063,27.88,28.04
14.077,27.91,28.04
14.091,27.88,28.04
14.106,27.87,28.04
14.12,27.86,28.04
14.134,27.8,28.05
14.149,27.76,28.05
14.163,27.85,28.05
14.177,27.85,28.04
14.193,27.91,28.04
14.208,27.89,28.05
14.222,27.82,28.05
14.236,27.81,28.05
14.25,27.88,28.05
14.265,27.84,28.05
14.279,27.82,28.05
14.293,27.87,28.05
14.308,27.92,28.05
14.322,27.84,28.05
14.336,27.82,28.05
14.35,27.87,28.04
14.364,27.89,28.05
14.379,27.84,28.05
14.393,27.82,28.04
14.407,27.84,28.04
14.421,27.84,28.04
14.435,27.83,28.04
14.449,27.82,28.04
14.463,27.86,28.04
14.477,27.84,28.04
14.491,27.85,28.04
14.506,27.86,28.04
14.52,27.87,28.04
14.534,27.89,28.04
14.549,27.85,28.04
14.563,27.82,28.04
14.577,27.84,28.04
14.591,27.83,28.04
14.605,27.84,28.04
14.62,27.91,28.04
14.635,27.88,28.04
14.649,27.82,28.04
14.663,27.83,28.04
14.678,27.84,28.04
14.692,27.86,28.04
14.706,27.87,28.04
14.72,27.84,28.04
14.734,27.8,28.05
14.748,27.84,28.04
14.763,27.87,28.04
14.777,27.92,28.05
14.791,27.86,28.05
14.805,27.8,28.05
14.819,27.84,28.05
14.834,27.83,28.04
14.848,27.83,28.04
14.862,27.84,28.04
14.876,27.84,28.05
14.891,27.83,28.05
14.905,27.82,28.05
14.919,27.84,28.04
14.933,27.88,28.04
14.949,27.84,28.04
14.963,27.82,28.05
14.978,27.87,28.05
14.992,27.86,28.05
15.006,27.82,28.05
15.02,27.81,28.05
15.035,27.83,28.04
15.049,27.81,28.04
15.063,27.79,28.04
15.077,27.86,28.04
15.092,27.88,28.04
15.106,27.86,28.04
15.12,27.87,28.04
15.134,27.83,28.04
15.148,27.81,28.04
15.163,27.83,28.04
15.177,27.83,28.04
15.191,27.84,28.04
15.206,27.82,28.04
15.22,27.82,28.04
15.235,27.83,28.04
15.248,27.83,28.04
15.263,27.81,28.04
15.277,27.8,28.04
15.292,27.87,28.04
15.306,27.87,28.04
15.32,27.86,28.04
15.334,27.86,28.04
15.348,27.86,28.04
15.363,27.87,28.04
15.377,27.74,28.04
15.391,27.77,28.04
15.406,27.83,28.04
15.42,27.87,28.04
15.434,27.84,28.04
15.448,27.81,28.04
15.463,27.85,28.04
15.477,27.88,28.04
15.491,27.9,28.04
15.506,27.86,28.04
15.52,27.81,28.04
15.534,27.82,28.04
15.549,27.91,28.04
15.563,27.88,28.04
15.577,27.85,28.04
15.591,27.86,28.04
15.605,27.86,28.04
15.62,27.87,28.04
15.634,27.88,28.04
15.649,27.87,28.04
15.664,27.86,28.04
15.678,27.86,28.04
15.693,27.86,28.04
15.707,27.83,28.04
15.721,27.88,28.04
15.736,27.92,28.04
15.75,27.85,28.04
15.764,27.84,28.04
15.778,27.84,28.04
15.792,27.83,28.04
15.806,27.81,28.04
15.821,27.81,28.04
15.835,27.8,28.04
15.849,27.8,28.04
15.863,27.84,28.04
15.878,27.86,28.04
15.892,27.88,28.04
15.906,27.89,28.04
15.92,27.88,28.04
15.934,27.86,28.04
15.949,27.85,28.04
15.963,27.81,28.04
15.977,27.79,28.04
15.991,27.87,28.04
16.006,27.88,28.04
16.02,27.81,28.04
16.034,27.85,28.04
16.049,27.91,28.04
16.064,27.89,28.04
16.078,27.89,28.04
16.092,27.9,28.04
16.107,27.88,28.04
16.121,27.83,28.04
16.135,27.82,28.04
16.149,27.78,28.04
16.163,27.76,28.04
16.178,27.87,28.04
16.192,27.85,28.04
16.206,27.87,28.04
16.221,27.84,28.04
16.236,27.83,28.04
16.25,27.89,28.04
16.264,27.9,28.04
16.279,27.88,28.04
16.293,27.87,28.04
16.307,27.88,28.04
16.321,27.86,28.04
16.335,27.86,28.04
16.35,27.87,28.04
16.364,27.87,28.04
16.38,27.91,28.04
16.394,27.87,28.04
16.408,27.88,28.04
16.423,27.86,28.04
16.437,27.81,28.04
16.451,27.82,28.04
16.465,27.84,28.04
16.479,27.84,28.04
16.493,27.85,28.04
16.508,27.83,28.04
16.522,27.8,28.04
16.536,27.78,28.04
16.55,27.79,28.04
16.564,27.85,28.04
16.578,27.88,28.04
