Time (s),Accel Roll (deg),Gyro Roll (deg)
0.001,27.87,28.02
0.006,27.82,28.02
0.021,27.82,28.02
0.035,27.87,28.02
0.049,27.9,28.02
0.063,27.86,28.02
0.078,27.85,28.03
0.092,27.86,28.03
0.106,27.89,28.03
0.121,27.86,28.03
0.135,27.82,28.03
0.149,27.83,28.03
0.163,27.83,28.03
0.177,27.82,28.03
0.192,27.82,28.03
0.206,27.88,28.03
0.22,27.87,28.03
0.234,27.81,28.03
0.249,27.83,28.03
0.264,27.84,28.03
0.278,27.89,28.03
0.292,27.91,28.03
0.306,27.89,28.03
0.32,27.88,28.03
0.334,27.87,28.03
0.349,27.84,28.03
0.363,27.85,28.03
0.377,27.89,28.03
0.391,27.91,28.03
0.405,27.76,28.03
0.419,27.77,28.03
0.434,27.82,28.03
0.448,27.93,28.03
0.462,27.91,28.03
0.476,27.86,28.03
0.491,27.89,28.03
0.505,27.85,28.04
0.519,27.83,28.04
0.534,27.86,28.04
0.548,27.93,28.04
0.562,27.89,28.04
0.576,27.79,28.04
0.59,27.74,28.04
0.604,27.87,28.04
0.618,27.91,28.04
0.633,27.86,28.04
0.647,27.8,28.04
0.661,27.79,28.04
0.675,27.86,28.03
0.69,27.86,28.04
0.704,27.75,28.04
0.718,27.76,28.04
0.733,27.86,28.03
0.747,27.83,28.03
0.761,27.76,28.03
0.775,27.81,28.03
0.789,27.91,28.03
0.804,27.84,28.03
0.818,27.79,28.03
0.832,27.84,28.03
0.846,27.85,28.03
0.86,27.83,28.03
0.875,27.88,28.03
0.889,27.88,28.03
0.906,27.85,28.03
0.92,27.89,28.03
0.935,27.87,28.03
0.949,27.8,28.03
0.963,27.85,28.03
0.978,27.88,28.03
0.992,27.85,28.04
1.007,27.84,28.04
1.021,27.82,28.03
1.035,27.83,28.04
1.049,27.83,28.04
1.063,27.87,28.04
1.077,27.92,28.04
1.091,27.89,28.04
1.106,27.79,28.04
1.12,27.83,28.04
1.134,27.94,28.04
1.148,27.95,28.04
1.162,27.84,28.04
1.177,27.76,28.04
1.191,27.79,28.04
1.205,27.83,28.04
1.22,27.83,28.04
1.233,27.85,28.04
1.247,27.88,28.04
1.262,27.85,28.04
1.276,27.79,28.04
1.29,27.79,28.04
1.304,27.83,28.04
1.318,27.94,28.04
1.333,27.91,28.04
1.347,27.89,28.04
1.361,27.9,28.04
1.375,27.85,28.04
1.389,27.85,28.04
1.404,27.84,28.05
1.418,27.84,28.05
1.432,27.86,28.04
1.446,27.91,28.04
1.46,27.93,28.04
1.475,27.9,28.05
1.489,27.84,28.04
1.503,27.78,28.04
1.518,27.81,28.04
1.532,27.9,28.04
1.546,27.99,28.04
1.56,27.93,28.05
1.575,27.83,28.05
1.589,27.8,28.05
1.603,27.82,28.04
1.617,27.87,28.05
1.631,27.91,28.05
1.645,27.85,28.05
1.659,27.82,28.05
1.673,27.89,28.05
1.688,27.87,28.05
1.702,27.86,28.05
1.716,27.83,28.05
1.73,27.8,28.05
1.745,27.87,28.05
1.759,27.94,28.05
1.775,27.85,28.05
1.789,27.79,28.05
1.803,27.86,28.05
1.817,27.89,28.05
1.831,27.88,28.05
1.846,27.89,28.05
1.86,27.87,28.05
1.874,27.86,28.05
1.888,27.82,28.05
1.902,27.82,28.05
1.917,27.86,28.05
1.931,27.91,28.05
1.945,27.89,28.05
1.96,27.82,28.05
1.974,27.76,28.05
1.99,27.85,28.05
2.004,27.91,28.05
2.019,27.88,28.05
2.033,27.82,28.05
2.048,27.84,28.05
2.062,27.82,28.05
2.077,27.76,28.05
2.092,27.8,28.05
2.105,27.89,28.05
2.119,27.9,28.05
2.133,27.87,28.05
2.148,27.74,28.05
2.162,27.75,28.04
2.176,27.91,28.04
2.191,27.96,28.04
2.205,27.9,28.04
2.219,27.85,28.04
