Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.001,8.68,-1.39,8.88,-1.35,8.88,-1.35
0.0,8.69,-1.39,8.88,-1.35,8.88,-1.35
0.032,8.68,-1.38,8.88,-1.35,8.88,-1.35
0.067,8.61,-1.37,8.88,-1.35,8.88,-1.35
0.102,8.61,-1.35,8.88,-1.35,8.88,-1.35
0.135,8.66,-1.36,8.88,-1.35,8.88,-1.35
0.167,8.71,-1.32,8.88,-1.35,8.88,-1.35
0.2,8.68,-1.31,8.88,-1.35,8.87,-1.35
0.233,8.59,-1.32,8.88,-1.35,8.87,-1.35
0.265,8.61,-1.36,8.87,-1.35,8.87,-1.35
0.295,8.68,-1.45,8.88,-1.35,8.87,-1.35
0.328,8.67,-1.43,8.87,-1.35,8.87,-1.35
0.359,8.6,-1.36,8.88,-1.35,8.87,-1.35
0.391,8.67,-1.37,8.88,-1.35,8.87,-1.35
0.426,8.68,-1.37,8.88,-1.35,8.87,-1.35
0.458,8.59,-1.37,8.88,-1.35,8.87,-1.35
0.49,8.58,-1.39,8.88,-1.35,8.87,-1.35
0.524,8.69,-1.38,8.88,-1.35,8.87,-1.35
0.557,8.74,-1.37,8.88,-1.35,8.87,-1.35
0.589,8.63,-1.36,8.88,-1.35,8.87,-1.35
0.622,8.6,-1.35,8.88,-1.35,8.87,-1.35
0.655,8.64,-1.3,8.87,-1.35,8.87,-1.35
0.687,8.64,-1.34,8.88,-1.35,8.87,-1.35
0.719,8.63,-1.38,8.88,-1.35,8.87,-1.35
0.751,8.66,-1.36,8.87,-1.35,8.87,-1.35
0.782,8.68,-1.36,8.87,-1.35,8.87,-1.35
0.814,8.66,-1.37,8.87,-1.35,8.87,-1.35
0.845,8.66,-1.32,8.87,-1.35,8.87,-1.35
0.878,8.61,-1.3,8.87,-1.35,8.87,-1.35
0.912,8.6,-1.33,8.87,-1.35,8.87,-1.35
0.945,8.65,-1.41,8.87,-1.35,8.87,-1.35
0.978,8.64,-1.4,8.87,-1.35,8.87,-1.35
1.011,8.64,-1.36,8.87,-1.35,8.87,-1.35
1.045,8.6,-1.4,8.87,-1.35,8.87,-1.35
1.077,8.6,-1.41,8.87,-1.35,8.87,-1.35
1.109,8.64,-1.39,8.87,-1.35,8.87,-1.35
1.141,8.66,-1.35,8.87,-1.35,8.86,-1.35
1.175,8.67,-1.33,8.87,-1.35,8.86,-1.35
1.207,8.65,-1.33,8.87,-1.35,8.86,-1.35
1.24,8.61,-1.33,8.87,-1.35,8.86,-1.35
1.271,8.63,-1.32,8.86,-1.35,8.86,-1.35
1.375,8.64,-1.32,8.86,-1.35,8.86,-1.35
1.432,8.69,-1.32,8.86,-1.35,8.86,-1.35
1.481,8.69,-1.31,8.86,-1.35,8.86,-1.35
1.527,8.62,-1.35,8.86,-1.35,8.86,-1.35
1.571,8.62,-1.36,8.86,-1.35,8.86,-1.35
1.617,8.67,-1.38,8.86,-1.35,8.86,-1.35
1.664,8.67,-1.39,8.86,-1.35,8.86,-1.35
1.709,8.64,-1.32,8.86,-1.35,8.86,-1.35
1.753,8.64,-1.33,8.86,-1.35,8.86,-1.35
1.799,8.64,-1.41,8.86,-1.34,8.86,-1.34
1.845,8.6,-1.39,8.86,-1.34,8.86,-1.35
1.891,8.61,-1.35,8.86,-1.35,8.86,-1.35
1.933,8.63,-1.31,8.86,-1.34,8.86,-1.34
1.977,8.67,-1.3,8.86,-1.34,8.86,-1.34
2.021,8.65,-1.32,8.86,-1.34,8.86,-1.34
2.065,8.65,-1.38,8.86,-1.34,8.86,-1.34
2.11,8.66,-1.39,8.86,-1.34,8.86,-1.34
2.157,8.68,-1.36,8.86,-1.34,8.86,-1.34
2.203,8.7,-1.28,8.87,-1.34,8.86,-1.34
2.245,8.7,-1.32,8.87,-1.34,8.86,-1.34
2.289,8.64,-1.36,8.87,-1.34,8.86,-1.34
2.333,8.63,-1.37,8.86,-1.34,8.86,-1.34
2.378,8.66,-1.4,8.86,-1.34,8.86,-1.34
2.422,8.67,-1.39,8.86,-1.34,8.86,-1.34
2.465,8.67,-1.4,8.86,-1.34,8.86,-1.34
2.509,8.61,-1.39,8.86,-1.34,8.86,-1.34
2.553,8.61,-1.39,8.86,-1.34,8.86,-1.34
2.596,8.63,-1.39,8.86,-1.34,8.86,-1.34
2.641,8.68,-1.4,8.86,-1.35,8.86,-1.35
2.684,8.64,-1.32,8.86,-1.35,8.86,-1.35
2.727,8.57,-1.32,8.86,-1.35,8.86,-1.35
2.77,8.63,-1.37,8.86,-1.35,8.86,-1.35
2.813,8.69,-1.39,8.86,-1.35,8.86,-1.35
2.857,8.67,-1.38,8.86,-1.35,8.86,-1.35
2.901,8.61,-1.37,8.86,-1.35,8.86,-1.35
2.945,8.66,-1.37,8.86,-1.35,8.86,-1.35
2.988,8.67,-1.37,8.86,-1.35,8.86,-1.35
3.031,8.66,-1.35,8.86,-1.35,8.86,-1.35
3.074,8.6,-1.35,8.86,-1.35,8.85,-1.35
3.118,8.61,-1.32,8.86,-1.35,8.85,-1.35
3.161,8.67,-1.39,8.86,-1.35,8.85,-1.35
3.205,8.71,-1.38,8.86,-1.35,8.85,-1.35
3.247,8.6,-1.3,8.86,-1.35,8.85,-1.35
3.292,8.58,-1.3,8.86,-1.34,8.85,-1.34
3.335,8.59,-1.36,8.85,-1.34,8.85,-1.34
3.378,8.63,-1.37,8.85,-1.34,8.85,-1.34
3.422,8.64,-1.37,8.85,-1.34,8.85,-1.34
3.465,8.64,-1.35,8.85,-1.34,8.85,-1.34
3.51,8.67,-1.34,8.85,-1.34,8.85,-1.34
3.554,8.6,-1.31,8.85,-1.34,8.85,-1.34
3.596,8.6,-1.35,8.85,-1.34,8.84,-1.34
3.638,8.63,-1.35,8.85,-1.34,8.84,-1.34
3.682,8.64,-1.33,8.85,-1.34,8.84,-1.34
3.728,8.63,-1.34,8.85,-1.34,8.84,-1.34
3.77,8.66,-1.34,8.84,-1.34,8.84,-1.34
3.813,8.71,-1.35,8.84,-1.34,8.84,-1.34
3.857,8.71,-1.35,8.84,-1.34,8.84,-1.34
3.9,8.67,-1.37,8.85,-1.34,8.84,-1.34
3.944,8.68,-1.39,8.85,-1.34,8.84,-1.34
3.988,8.67,-1.37,8.84,-1.34,8.84,-1.34
4.031,8.63,-1.39,8.84,-1.34,8.84,-1.34
4.074,8.64,-1.39,8.84,-1.34,8.84,-1.34
4.118,8.6,-1.34,8.84,-1.34,8.84,-1.34
4.162,8.66,-1.33,8.84,-1.34,8.84,-1.34
4.206,8.67,-1.37,8.84,-1.34,8.84,-1.34
4.25,8.65,-1.38,8.84,-1.34,8.84,-1.34
4.293,8.63,-1.35,8.84,-1.34,8.84,-1.34
4.337,8.63,-1.35,8.84,-1.34,8.84,-1.34
4.381,8.63,-1.35,8.84,-1.34,8.84,-1.34
4.424,8.66,-1.33,8.84,-1.34,8.84,-1.34
4.466,8.67,-1.33,8.84,-1.34,8.84,-1.34
4.51,8.63,-1.35,8.84,-1.34,8.84,-1.34
4.554,8.66,-1.3,8.84,-1.34,8.84,-1.34
4.598,8.66,-1.28,8.84,-1.34,8.84,-1.34
4.641,8.64,-1.33,8.84,-1.34,8.84,-1.34
4.685,8.61,-1.34,8.84,-1.34,8.84,-1.34
4.729,8.59,-1.39,8.84,-1.34,8.84,-1.34
4.771,8.64,-1.37,8.84,-1.34,8.84,-1.34
4.817,8.71,-1.3,8.84,-1.34,8.84,-1.34
4.861,8.71,-1.33,8.84,-1.34,8.84,-1.34
4.905,8.6,-1.41,8.84,-1.34,8.84,-1.34
4.951,8.61,-1.35,8.84,-1.34,8.84,-1.34
4.994,8.63,-1.33,8.84,-1.34,8.84,-1.34
5.037,8.63,-1.34,8.84,-1.34,8.84,-1.34
5.082,8.67,-1.34,8.84,-1.34,8.84,-1.34
5.125,8.69,-1.31,8.85,-1.34,8.84,-1.34
5.169,8.69,-1.28,8.85,-1.34,8.84,-1.34
5.212,8.66,-1.37,8.84,-1.34,8.84,-1.34
5.255,8.67,-1.39,8.84,-1.34,8.84,-1.34
5.298,8.68,-1.4,8.84,-1.34,8.84,-1.34
5.341,8.66,-1.39,8.84,-1.34,8.84,-1.34
5.385,8.62,-1.36,8.85,-1.34,8.84,-1.34
5.428,8.67,-1.36,8.84,-1.34,8.84,-1.34
5.473,8.71,-1.39,8.84,-1.34,8.84,-1.34
5.516,8.69,-1.38,8.84,-1.34,8.84,-1.34
5.56,8.66,-1.36,8.85,-1.34,8.84,-1.34
5.603,8.62,-1.34,8.85,-1.34,8.84,-1.34
5.647,8.66,-1.37,8.84,-1.34,8.84,-1.34
5.69,8.62,-1.35,8.84,-1.34,8.84,-1.34
5.733,8.6,-1.38,8.85,-1.34,8.84,-1.34
5.778,8.69,-1.33,8.84,-1.34,8.84,-1.34
5.822,8.63,-1.33,8.84,-1.34,8.84,-1.34
5.865,8.53,-1.34,8.84,-1.34,8.84,-1.34
5.907,8.59,-1.37,8.84,-1.35,8.84,-1.35
5.949,8.65,-1.39,8.84,-1.35,8.84,-1.35
5.993,8.61,-1.4,8.84,-1.35,8.84,-1.35
6.039,8.59,-1.34,8.84,-1.34,8.84,-1.34
6.081,8.67,-1.37,8.84,-1.34,8.84,-1.34
6.125,8.68,-1.35,8.84,-1.34,8.84,-1.34
6.168,8.67,-1.28,8.84,-1.34,8.84,-1.34
6.212,8.7,-1.29,8.84,-1.34,8.84,-1.34
6.256,8.7,-1.3,8.84,-1.34,8.84,-1.34
6.3,8.62,-1.3,8.84,-1.34,8.84,-1.34
6.344,8.62,-1.38,8.84,-1.34,8.84,-1.34
6.386,8.64,-1.4,8.84,-1.34,8.84,-1.34
6.43,8.65,-1.35,8.84,-1.34,8.84,-1.34
6.476,8.64,-1.32,8.84,-1.34,8.84,-1.34
6.519,8.67,-1.35,8.84,-1.34,8.84,-1.34
6.566,8.61,-1.33,8.84,-1.34,8.84,-1.34
6.609,8.62,-1.34,8.84,-1.34,8.84,-1.34
6.653,8.64,-1.38,8.84,-1.34,8.84,-1.34
6.697,8.59,-1.29,8.84,-1.34,8.84,-1.34
6.74,8.6,-1.3,8.84,-1.34,8.84,-1.34
6.785,8.65,-1.34,8.84,-1.34,8.84,-1.34
6.828,8.62,-1.34,8.84,-1.34,8.84,-1.34
6.872,8.62,-1.4,8.84,-1.34,8.84,-1.34
6.915,8.6,-1.41,8.84,-1.34,8.84,-1.34
6.958,8.6,-1.39,8.84,-1.34,8.84,-1.34
7.002,8.62,-1.38,8.84,-1.34,8.84,-1.35
7.045,8.65,-1.34,8.84,-1.34,8.84,-1.34
7.088,8.68,-1.37,8.84,-1.34,8.84,-1.34
7.131,8.69,-1.39,8.84,-1.34,8.84,-1.34
7.174,8.67,-1.36,8.84,-1.34,8.83,-1.34
7.219,8.72,-1.32,8.84,-1.34,8.83,-1.34
7.263,8.6,-1.33,8.84,-1.34,8.84,-1.34
7.308,8.59,-1.35,8.84,-1.34,8.83,-1.34
7.352,8.59,-1.35,8.84,-1.34,8.83,-1.34
7.396,8.67,-1.33,8.84,-1.34,8.83,-1.34
7.44,8.71,-1.3,8.84,-1.34,8.83,-1.34
7.483,8.63,-1.38,8.84,-1.34,8.84,-1.34
7.527,8.62,-1.37,8.84,-1.34,8.83,-1.34
7.571,8.64,-1.42,8.84,-1.34,8.83,-1.34
7.617,8.68,-1.41,8.84,-1.34,8.83,-1.34
7.663,8.66,-1.33,8.84,-1.34,8.83,-1.34
7.705,8.65,-1.3,8.84,-1.34,8.83,-1.34
7.749,8.68,-1.29,8.84,-1.34,8.83,-1.34
