Time (s),Gyro Roll (deg)
5.116,-0.78
5.131,-0.78
5.145,-0.78
5.16,-0.78
5.174,-0.78
5.188,-0.78
5.203,-0.78
5.217,-0.78
5.232,-0.78
5.246,-0.78
5.261,-0.78
5.275,-0.78
5.29,-0.78
5.304,-0.78
5.318,-0.78
5.333,-0.78
5.347,-0.78
5.361,-0.78
5.376,-0.78
5.39,-0.78
5.404,-0.78
5.419,-0.78
5.433,-0.79
5.448,-0.79
5.462,-0.79
5.476,-0.79
5.491,-0.79
5.505,-0.79
5.52,-0.79
5.534,-0.79
5.548,-0.79
5.563,-0.79
5.577,-0.79
5.592,-0.79
5.607,-0.79
5.622,-0.78
5.636,-0.78
5.65,-0.78
5.665,-0.78
5.679,-0.78
5.694,-0.78
5.708,-0.78
5.722,-0.78
5.737,-0.78
5.751,-0.78
5.766,-0.78
5.78,-0.78
5.795,-0.78
5.809,-0.78
5.824,-0.78
5.838,-0.78
5.852,-0.78
5.867,-0.78
5.881,-0.78
5.896,-0.78
5.91,-0.78
5.924,-0.78
5.939,-0.78
5.953,-0.78
5.967,-0.78
5.982,-0.78
5.996,-0.78
6.01,-0.78
6.025,-0.78
6.039,-0.78
6.054,-0.78
6.068,-0.78
6.083,-0.78
6.098,-0.78
6.112,-0.78
6.126,-0.78
6.141,-0.78
6.156,-0.78
6.17,-0.78
6.185,-0.78
6.199,-0.78
6.214,-0.78
6.228,-0.78
6.243,-0.78
6.258,-0.78
6.272,-0.78
6.287,-0.78
6.301,-0.78
6.316,-0.78
6.33,-0.78
6.345,-0.78
6.359,-0.78
6.374,-0.78
6.388,-0.78
6.403,-0.78
6.417,-0.78
6.432,-0.78
6.446,-0.78
6.46,-0.78
6.475,-0.78
6.49,-0.78
6.504,-0.78
6.518,-0.79
6.533,-0.78
6.547,-0.78
6.562,-0.78
6.576,-0.78
6.591,-0.78
6.605,-0.78
6.619,-0.78
6.634,-0.78
6.648,-0.78
6.663,-0.78
6.677,-0.78
6.692,-0.79
6.706,-0.79
6.721,-0.78
6.735,-0.78
6.75,-0.78
6.764,-0.78
6.779,-0.78
6.793,-0.78
6.808,-0.78
6.822,-0.78
6.837,-0.78
6.851,-0.78
6.866,-0.78
6.88,-0.78
6.895,-0.78
6.909,-0.78
6.924,-0.78
6.938,-0.78
6.953,-0.78
6.967,-0.78
6.981,-0.78
6.996,-0.78
7.01,-0.78
7.024,-0.77
7.039,-0.77
7.053,-0.77
7.067,-0.77
7.082,-0.77
7.097,-0.77
7.111,-0.77
7.126,-0.77
7.14,-0.78
7.154,-0.77
7.169,-0.78
7.184,-0.78
7.198,-0.78
7.212,-0.78
7.226,-0.78
7.241,-0.78
7.255,-0.78
7.27,-0.78
7.285,-0.78
7.3,-0.78
7.314,-0.78
7.329,-0.78
7.343,-0.78
7.358,-0.78
7.373,-0.78
7.388,-0.78
7.403,-0.78
7.418,-0.78
7.432,-0.78
7.446,-0.78
7.461,-0.78
7.476,-0.78
7.49,-0.77
7.504,-0.77
7.519,-0.77
7.533,-0.77
7.548,-0.77
7.562,-0.77
7.577,-0.77
7.591,-0.77
7.606,-0.77
7.62,-0.77
7.634,-0.77
7.649,-0.77
7.663,-0.77
7.678,-0.77
7.692,-0.78
7.706,-0.77
7.721,-0.77
7.735,-0.77
7.749,-0.78
7.764,-0.78
7.778,-0.78
7.793,-0.78
7.807,-0.78
7.821,-0.78
7.836,-0.78
7.85,-0.78
7.865,-0.78
7.879,-0.78
7.894,-0.78
7.908,-0.78
7.923,-0.78
7.937,-0.77
7.951,-0.77
7.966,-0.77
7.98,-0.77
7.994,-0.78
8.009,-0.77
8.024,-0.78
8.038,-0.78
8.052,-0.78
8.067,-0.78
8.081,-0.78
8.095,-0.78
8.11,-0.78
8.124,-0.78
8.139,-0.78
8.153,-0.78
8.168,-0.78
8.182,-0.78
8.197,-0.78
8.211,-0.78
8.225,-0.78
8.24,-0.78
8.255,-0.78
8.269,-0.78
8.284,-0.78
8.298,-0.78
8.313,-0.78
8.327,-0.78
8.341,-0.78
8.356,-0.78
8.37,-0.78
8.384,-0.78
8.399,-0.78
8.413,-0.78
8.428,-0.78
8.442,-0.78
8.457,-0.78
8.471,-0.78
8.486,-0.78
8.5,-0.78
8.514,-0.78
8.529,-0.78
8.543,-0.78
8.558,-0.78
8.572,-0.78
8.586,-0.78
8.601,-0.78
8.615,-0.78
8.63,-0.78
8.645,-0.78
8.659,-0.78
8.674,-0.78
8.688,-0.78
8.702,-0.78
8.717,-0.78
8.731,-0.78
8.746,-0.78
8.76,-0.78
8.775,-0.78
8.789,-0.78
8.804,-0.78
8.818,-0.78
8.832,-0.78
8.847,-0.78
8.861,-0.78
8.875,-0.78
8.89,-0.78
8.904,-0.78
8.918,-0.78
8.933,-0.78
8.947,-0.78
8.962,-0.78
8.976,-0.78
8.991,-0.78
9.005,-0.77
9.019,-0.77
9.034,-0.77
9.048,-0.78
9.063,-0.78
9.077,-0.77
9.092,-0.77
9.106,-0.78
9.12,-0.78
9.135,-0.78
9.149,-0.78
9.164,-0.78
9.178,-0.78
9.193,-0.78
9.207,-0.78
9.222,-0.78
9.236,-0.78
9.25,-0.78
9.265,-0.78
9.279,-0.78
9.293,-0.78
9.308,-0.78
9.322,-0.78
9.337,-0.78
9.351,-0.78
9.366,-0.78
9.38,-0.78
9.395,-0.78
9.409,-0.78
9.424,-0.78
9.438,-0.78
9.452,-0.78
9.467,-0.78
9.481,-0.78
9.496,-0.78
9.51,-0.78
9.525,-0.78
9.539,-0.78
9.554,-0.78
9.569,-0.77
9.583,-0.78
9.598,-0.77
9.612,-0.77
9.627,-0.77
9.641,-0.77
9.656,-0.77
9.67,-0.77
9.684,-0.77
9.699,-0.77
9.714,-0.77
9.728,-0.77
9.743,-0.77
9.757,-0.77
9.772,-0.77
9.787,-0.77
9.802,-0.77
9.816,-0.77
9.831,-0.77
9.845,-0.77
9.861,-0.77
9.875,-0.77
9.89,-0.77
9.905,-0.77
9.919,-0.77
9.933,-0.77
9.948,-0.77
9.962,-0.77
9.977,-0.77
9.991,-0.78
10.006,-0.78
10.02,-0.77
10.035,-0.77
10.049,-0.77
10.064,-0.77
10.078,-0.77
10.093,-0.77
10.107,-0.77
10.122,-0.77
10.137,-0.77
10.151,-0.77
10.165,-0.78
10.18,-0.78
10.194,-0.78
10.209,-0.78
10.224,-0.78
10.238,-0.78
10.253,-0.78
10.268,-0.78
10.282,-0.78
10.296,-0.78
10.311,-0.78
10.325,-0.78
10.339,-0.78
10.354,-0.78
10.368,-0.78
10.383,-0.78
10.397,-0.78
10.412,-0.78
10.426,-0.78
10.44,-0.78
10.455,-0.78
10.469,-0.78
10.484,-0.78
10.498,-0.78
10.513,-0.78
10.527,-0.78
10.542,-0.78
10.556,-0.78
10.57,-0.78
10.585,-0.78
10.6,-0.78
10.614,-0.78
10.629,-0.78
10.643,-0.78
10.657,-0.78
10.672,-0.78
10.687,-0.78
10.701,-0.78
10.715,-0.78
10.73,-0.78
10.745,-0.78
10.759,-0.78
10.774,-0.78
10.788,-0.78
10.803,-0.78
10.817,-0.78
10.832,-0.78
10.846,-0.78
10.86,-0.78
10.875,-0.78
10.889,-0.78
10.904,-0.78
10.918,-0.78
10.933,-0.78
10.947,-0.78
10.961,-0.78
10.976,-0.78
10.991,-0.78
11.005,-0.78
11.02,-0.78
11.034,-0.78
11.049,-0.78
11.063,-0.78
11.078,-0.78
11.092,-0.78
11.107,-0.78
11.122,-0.78
11.137,-0.78
11.152,-0.78
11.166,-0.78
11.183,-0.78
11.198,-0.78
11.212,-0.78
11.227,-0.78
11.241,-0.78
11.255,-0.78
11.27,-0.78
11.284,-0.78
11.299,-0.78
11.313,-0.78
11.328,-0.78
11.343,-0.78
11.357,-0.78
11.372,-0.78
11.387,-0.78
11.402,-0.78
11.417,-0.78
11.432,-0.78
11.446,-0.78
11.461,-0.78
11.475,-0.78
11.489,-0.78
11.504,-0.78
11.518,-0.78
11.533,-0.78
11.547,-0.78
11.562,-0.78
11.577,-0.78
11.591,-0.78
11.605,-0.78
11.619,-0.78
11.634,-0.78
11.648,-0.78
11.662,-0.78
11.677,-0.78
11.691,-0.78
11.706,-0.78
11.72,-0.78
11.735,-0.78
11.749,-0.78
11.764,-0.78
11.778,-0.78
11.793,-0.78
11.807,-0.78
11.822,-0.78
11.836,-0.78
11.851,-0.78
11.865,-0.77
11.879,-0.77
11.894,-0.77
11.909,-0.77
11.923,-0.77
11.938,-0.77
11.952,-0.77
11.966,-0.77
11.981,-0.77
11.995,-0.77
12.01,-0.77
12.024,-0.77
12.039,-0.77
12.053,-0.77
12.068,-0.77
12.082,-0.77
12.097,-0.77
12.111,-0.77
12.126,-0.77
12.141,-0.77
12.156,-0.77
12.17,-0.77
12.185,-0.77
12.199,-0.77
12.214,-0.77
12.228,-0.77
12.243,-0.77
12.257,-0.77
12.271,-0.77
12.286,-0.77
12.3,-0.77
12.315,-0.77
12.33,-0.77
12.344,-0.77
12.359,-0.77
12.373,-0.77
12.388,-0.77
12.402,-0.77
12.416,-0.77
12.431,-0.77
12.446,-0.77
12.46,-0.77
12.475,-0.77
12.489,-0.77
12.504,-0.77
12.518,-0.77
12.533,-0.77
12.547,-0.77
12.562,-0.77
12.576,-0.77
12.591,-0.77
12.605,-0.77
12.62,-0.77
12.634,-0.77
12.649,-0.77
12.663,-0.77
12.678,-0.77
12.692,-0.77
12.707,-0.78
12.721,-0.78
12.736,-0.78
12.75,-0.78
12.765,-0.77
12.78,-0.77
12.794,-0.78
12.809,-0.77
12.823,-0.77
12.838,-0.78
12.852,-0.77
12.867,-0.77
12.881,-0.77
12.896,-0.78
12.91,-0.78
12.925,-0.78
12.939,-0.78
12.954,-0.78
12.968,-0.78
12.983,-0.78
12.998,-0.77
13.013,-0.78
13.029,-0.78
13.043,-0.77
13.057,-0.77
13.072,-0.78
13.086,-0.78
13.101,-0.77
13.115,-0.78
13.13,-0.78
13.144,-0.78
13.159,-0.78
13.173,-0.78
13.188,-0.78
13.202,-0.78
13.217,-0.78
13.231,-0.78
13.246,-0.78
13.261,-0.78
13.275,-0.78
13.289,-0.78
13.304,-0.78
13.319,-0.78
13.333,-0.77
13.348,-0.77
13.362,-0.77
13.377,-0.77
13.392,-0.77
13.406,-0.77
13.42,-0.77
13.435,-0.78
13.449,-0.78
