Time (s),Accel Roll (deg),Accel Pitch (deg),Gyro Roll (deg),Gyro Pitch (deg),Filtered Roll (deg),Filtered Pitch (deg)
0.001,8.66,-1.46,8.87,-1.44,8.86,-1.44
0.015,8.57,-1.47,8.87,-1.44,8.86,-1.44
0.029,8.61,-1.45,8.87,-1.44,8.86,-1.44
0.044,8.73,-1.53,8.87,-1.44,8.86,-1.44
0.057,8.73,-1.53,8.87,-1.44,8.87,-1.44
0.072,8.64,-1.4,8.87,-1.44,8.86,-1.44
0.086,8.65,-1.41,8.87,-1.44,8.87,-1.44
0.1,8.69,-1.42,8.87,-1.44,8.87,-1.44
0.114,8.72,-1.48,8.87,-1.44,8.87,-1.44
0.129,8.71,-1.48,8.87,-1.44,8.87,-1.44
0.143,8.65,-1.42,8.87,-1.44,8.87,-1.44
0.157,8.68,-1.43,8.87,-1.44,8.87,-1.44
0.172,8.7,-1.46,8.87,-1.44,8.87,-1.44
0.187,8.73,-1.46,8.87,-1.44,8.87,-1.44
0.201,8.71,-1.46,8.87,-1.44,8.87,-1.44
0.216,8.73,-1.46,8.87,-1.44,8.87,-1.44
0.23,8.74,-1.43,8.87,-1.44,8.87,-1.44
0.245,8.76,-1.44,8.87,-1.44,8.87,-1.44
0.259,8.7,-1.48,8.87,-1.44,8.87,-1.44
0.274,8.72,-1.45,8.87,-1.44,8.87,-1.44
0.288,8.69,-1.44,8.87,-1.44,8.87,-1.44
0.303,8.64,-1.44,8.87,-1.44,8.87,-1.44
0.317,8.61,-1.45,8.87,-1.44,8.87,-1.44
0.331,8.65,-1.38,8.87,-1.44,8.87,-1.44
0.346,8.68,-1.43,8.87,-1.44,8.87,-1.44
0.361,8.7,-1.47,8.87,-1.44,8.87,-1.44
0.375,8.71,-1.46,8.87,-1.44,8.87,-1.44
0.39,8.69,-1.48,8.87,-1.44,8.87,-1.44
0.404,8.7,-1.48,8.87,-1.44,8.87,-1.45
0.419,8.71,-1.47,8.87,-1.45,8.87,-1.45
0.433,8.71,-1.41,8.87,-1.45,8.87,-1.45
0.447,8.67,-1.39,8.87,-1.45,8.87,-1.44
0.461,8.7,-1.44,8.87,-1.44,8.87,-1.44
0.476,8.65,-1.41,8.87,-1.44,8.87,-1.44
0.49,8.64,-1.41,8.87,-1.44,8.87,-1.44
0.504,8.64,-1.41,8.87,-1.44,8.87,-1.44
0.519,8.7,-1.48,8.87,-1.44,8.87,-1.44
0.533,8.71,-1.48,8.87,-1.44,8.87,-1.44
0.547,8.7,-1.44,8.87,-1.44,8.87,-1.44
0.562,8.71,-1.43,8.87,-1.44,8.87,-1.44
0.576,8.74,-1.42,8.87,-1.44,8.87,-1.44
0.59,8.71,-1.41,8.87,-1.44,8.87,-1.44
0.605,8.66,-1.42,8.87,-1.44,8.87,-1.44
0.619,8.69,-1.41,8.87,-1.44,8.87,-1.44
0.633,8.69,-1.39,8.87,-1.44,8.87,-1.44
0.647,8.66,-1.38,8.87,-1.44,8.87,-1.44
0.662,8.64,-1.38,8.87,-1.44,8.87,-1.44
0.676,8.72,-1.37,8.87,-1.44,8.87,-1.44
0.691,8.71,-1.39,8.87,-1.44,8.87,-1.44
0.705,8.65,-1.48,8.87,-1.44,8.87,-1.44
0.72,8.66,-1.49,8.87,-1.44,8.87,-1.44
0.734,8.73,-1.42,8.87,-1.44,8.87,-1.44
0.749,8.71,-1.45,8.87,-1.44,8.87,-1.44
0.766,8.67,-1.47,8.87,-1.44,8.87,-1.44
0.781,8.65,-1.45,8.88,-1.44,8.87,-1.44
0.796,8.6,-1.54,8.87,-1.44,8.87,-1.44
0.81,8.65,-1.52,8.87,-1.44,8.87,-1.44
0.825,8.69,-1.44,8.87,-1.44,8.87,-1.44
0.84,8.68,-1.43,8.87,-1.44,8.87,-1.44
0.854,8.66,-1.44,8.87,-1.44,8.87,-1.44
0.869,8.68,-1.44,8.87,-1.44,8.87,-1.44
0.883,8.68,-1.46,8.87,-1.44,8.87,-1.44
0.898,8.68,-1.49,8.87,-1.44,8.87,-1.44
0.913,8.74,-1.42,8.87,-1.44,8.87,-1.44
0.927,8.72,-1.38,8.87,-1.44,8.87,-1.44
0.941,8.71,-1.47,8.87,-1.44,8.87,-1.44
0.955,8.71,-1.45,8.88,-1.44,8.87,-1.44
0.969,8.68,-1.43,8.88,-1.44,8.88,-1.44
0.983,8.65,-1.44,8.88,-1.44,8.88,-1.44
0.998,8.7,-1.43,8.88,-1.44,8.88,-1.44
1.012,8.73,-1.42,8.88,-1.44,8.88,-1.44
1.027,8.68,-1.43,8.88,-1.44,8.88,-1.44
1.04,8.66,-1.51,8.88,-1.44,8.88,-1.44
1.055,8.68,-1.51,8.88,-1.44,8.88,-1.44
1.069,8.72,-1.49,8.88,-1.44,8.88,-1.44
